|Address|Category|Name|Subcategory
0|Sanayi Mah., 60307 Sk., No: 10, Şehitkamil, Gaziantep, Turkey|Producer Companies List Turkey|ERBALCI ZIMPARA INSAAT MALZEMELERI SAN. TIC. LTD. STI.|Abrasive
1|Büyükdere Cd. Akabe Ticaret Merkezi Kat:5 D:502  34387 Mecidiyeköy, İstanbul, Turkey|Producer Companies List Turkey|YUKSEK DIS TICARET DANISMANLIGI |Abrasive
2|Ürgen Paşa Mah. 75. Yıl Bulvarı Cemil Köse Apt. No:3/B Antakya, Hatay 31030, Turkey |Producer Companies List Turkey|MEHMET KONAK DIS TICARET LTD. STI. |Abrasive
3|Organize Sanayi Bölgesi 4.Cadde No:15 Altıeylül, Balıkesir, Turkey |Producer Companies List Turkey|KEMAL BASARAN ENDUSTRI A.S.|Abrasive
4|salihpaşalar köyü, 180/1|Producer Companies List Turkey|BYD CORUNDUM |Abrasive
5|KARATAY SAN.PERŞEMBE PAZARI.SAKA SK.NO:11 KONYA, TURKEY|Producer Companies List Turkey|SEN SAADET HIRDAVAT TIC. LTD. STI. |Abrasive
6|Akcaburgaz Mah., 117. Sok., No:7, Esenyurt, Istanbul, Turkey|Producer Companies List Turkey|ATEN ASINDIRICI TASLAR|Abrasive
7|7407/1 Sokak No:6 Pınarbası - Izmir / TURKEY|Producer Companies List Turkey|BOZDAG ENDUSTRI|Abrasive
8|İZMİR/TURKEY|Producer Companies List Turkey|HAKAN IZOL. BOYA VE YAPI MALZ.|Abrasive
9|Polatlı Organize Sanayi Bölgesi 202. Cadde No:9 Polatlı/ANKARA|Producer Companies List Turkey|ADALAR MAK SAN TIC LTD STI|Abrasive
10|Abdi İpekçi Caddesi, No: 68/238Bayrampaşa, İSTANBUL/TURKEY|Producer Companies List Turkey|KULA MAKINA IMALAT SAN. VE TIC. LTD. STI.|Abrasive
11|Anadolu Cad. 32/ 14 Salhane - İZMİR TURKEY|Producer Companies List Turkey|ERA STONE CAG ZIMPARA|Abrasive
12|Maslak Mah. Maslak Ayazağa Cad. No:934398 Şişli - Istanbul - Turkey|Producer Companies List Turkey|SUPERATES ATESE MUKAVIM MALZEME SAN. A.S.|Abrasive
13|Perşembe Pazarı St. No:6 Karaköy, Turkey|Producer Companies List Turkey|POLMAK CO. LTD. -POLFAN-|Abrasive
14|Zafer Mahallesi 118. Sokak No:10 34513 Esenyurt,  Istanbul, Turkey|Producer Companies List Turkey|MEMNUN MAKINA IML. SAN. VE TIC. LTD. STI. |Abrasive
15|Hal Yolu, Sayar İ¸S Merkezi No: 11/5 81120 Içerenköy, Turkey|Producer Companies List Turkey|KENNAMETAL KESICI TAKIMLAR SAN. VE TIC. A.S.|Abrasive
16|Gümüşsuyu Cad. No.55 34020 Bayrampaşa / Istanbul, Turkey|Producer Companies List Turkey|VELTEKS BAND SANAYI VE TIC. A.S.|Abrasive
17|Fatih Mah. 1188 Sok. No:12/N SARNIC GAZIEMIR IZMIR TURKEY|Producer Companies List Turkey|SUPER SELVA MERMER SAN.VE TIC.LTD.STI.|Abrasive
18|İ.T.O.B 2. Cadde No: 14 Tepeören Tuzla - İstanbul, Turkey|Producer Companies List Turkey|YILMAZ BARDAK MAK. OTO. INS. SAN. TIC. LTD. STI.|Abrasive
19|75. Yıl Cad. No: 5 Hadimköy-Arnavutköy - İstanbul, Turkey|Producer Companies List Turkey|FIREFLEX GUVENLI ASINDIRICILAR - STARLINE HIRDAVAT|Abrasive
20|Yakacık Kastelli Sanayi Sit. B Blok No.18-26, Kartal, İstanbul, Turkey|Producer Companies List Turkey|CAN MAKINA ZIMPARA MAKINALARI IMALAT ITH.SAN. VE TIC. LTD. STI.|Abrasive
21|"Merve Mah .Akabe Cad.No:18 Yenidogan 
Sancaktepe, Istanbul / Turkey"|Producer Companies List Turkey|DENIZ ZIMPARA -VSM VITEX - NETRON|Abrasive
22|"Nosab N.115. Sk. No:4  16140 Nılufer 
Bursa/ Turkey"|Producer Companies List Turkey|PODIM ZIMPARA SAN. LTD|Abrasive
23|Cumhu.Mah.İskele Cad.306 Sokak No:6 Yazıbaşı Torbalı, Turkey|Producer Companies List Turkey|APEL MERMER VE MER.MLZ.UR.SAN. TIC.LTD.S. |Abrasive
24|İkitelli Organize Sanayi Bölgesi Eskoop San. Sit.B1 Blok No:6 34306 İkitelli İstanbul, Turkey|Producer Companies List Turkey|ASAL METAL LTD.STI.|Abrasive
25|Necatibey Cd.,  Ekşioğlu İş Hanı, No:46,  Kat:2,  Karaköy , İstanbul,  TÜRKİYE|Producer Companies List Turkey|KARBOSAN ZIMPARA TAS.SAN.A.S.|Abrasive
26|Yayalar Mahallesi Ankara Caddesi No:47/A Pendik / İstanbul, Turkey|Producer Companies List Turkey|ONUR TEKNIK HIRDAVAT|Abrasive
27|Nosab N.115 Sok. No:4, Turkey|Producer Companies List Turkey|PODIM ZIMPARA|Abrasive
28|Merkez Mah Hedef Sok No 19 Kat 3, Turkey|Producer Companies List Turkey|POWER DIAMOND  CBN AND DIAMOND WHEELS|Abrasive
29|Güngören Merkez Köyaltı İstanbul, Turkey|Producer Companies List Turkey|KAYA BRUSH|Abrasive
30|Koşuyolu Cad., Koşuyolu Mah., No: 108/2, Kadıköy, İstanbul, Turkey|Producer Companies List Turkey|ONUR DIS TICARET DANISMANLIK VE GIDA SAN. LTD. STI.|Acetic
31|"Işıklar Caddesi Ahmet Muhip Dranas Sok. No:11A/2 
Ataşehir, İstanbul, Turkey "|Producer Companies List Turkey|ART IC VE DIS TIC LTD STI|Acetic
32|Deniz Mah. Petrol Ofisi Cad. No:43 Derince / KOCAELİ TURKEY|Producer Companies List Turkey|KORUMA SIRKETLER GRUBU|Acetic
33|Çıtak Sokak No:15 Kavaklıdere Bornova/İzmir, Turkey|Producer Companies List Turkey|CESA KIMYA GIDA ILAC DEZENFEKTAN VE TARIM URUN. TIC. LTD. STI.|Acetic
34|Evliya Çelebi Mah. Meşrutiyet Cad. Ersoy İş Hanı No:102 Kat:4 D:10 Beyoğlu - İstanbul, Turkey|Producer Companies List Turkey|ERPA KIMYA SAN. TIC. LTD. STI.|Acetic
35|"Cumhuriyet Mahallesi Erik Sokak No:26/3
Küçükçekmece, Istanbul, Turkey"|Producer Companies List Turkey|FNC DIS TICARET LTD. STI.|Acetic
36|Tekstilkent Ticaret Merkezi B-5 Blok No :72 Esenler / İstanbul, Turkey|Producer Companies List Turkey|SEMKIMYA|Acetic
37|Tekstilkent Ticaret Merkezi A15 Blok No:47 Esenler / İstanbul, Turkey|Producer Companies List Turkey|SEMKIMYA GIDA BILISIM DANISMANLIK SAN. VE TIC. LTD.STI. |Acetic
38|Tekstil Kent Ticaret Merkezi A15 Blok No : 47 Esenler / İstanbul, Turkey|Producer Companies List Turkey|SEM KIMYA GIDA BILISIM DANISMANLIK SAN. VE TIC. LTD. STI.|Acetic
39|Süleyman Seba Cad. Acısu Sok. Taşlık Apt. No:13, 34357 Maçka, Turkey|Producer Companies List Turkey|AK-KIM KIMYA SANAYI VE TICARET A.S.|Acetic
40|Yenimahalle Mimarsinan Cd. Menderes Sk. No: 4 D: 2 Soğanlık Kartal İstanbul, Turkey|Producer Companies List Turkey|DIVA KIMYA MUM. GIDA INS. SAN. VE TIC. LTD. STI.|Acetic
41|Organize Deri San. Bolgesi, Astar Sok, 6-1E-D-C Parsel, Orhanli, Tuzla, Istanbul, Turkey|Producer Companies List Turkey|NGB KIMYA SAN. VE TIC. LTD. STI.|Acetic
42|BEŞİKTAŞ / İST|Producer Companies List Turkey|SHINE WAY DAY. TUK. MAL. VE HAMMADELERI SAN VE TIC. LTD. STI.|Acetic
43|4. Organize Sanayi Bölgesi, 83414 Nolu Cd. No:5, Başpınar, Gaziantep, Turkey|Producer Companies List Turkey|REYHAN HALI TEKSTIL SAN. VE TIC. LTD. STI.|Acrylic
44|Hamidiye Mah., 267 Sk., Kardesler Apt., No: 1, Sanliurfa, Turkey|Producer Companies List Turkey|ATLAS INSAAT TIC. VE SAN. LTD. STI.|Acrylic
45|Fevzipaşa Mah., Barbaros Cad., No: 49, Çerkezköy, Tekirdağ, Turkey|Producer Companies List Turkey|POLAR MAKINA OTOM. ELE. ELEKT. ENER. URE. SAN. IC VE DIS TIC. LTD. STI.|Acrylic
46|Kuzguncuk Mah., Gümüşyolu Cad., Rasimağa Sok., No: 11/1, Nakkaştepe, Üsküdar, İstanbul, Turkey|Producer Companies List Turkey|CAG KIMYA SAN. VE TIC. LTD. STI.|Acrylic
47|Organize San. Böl., 41. Cadde, No: 1, Melikgazi, Kayseri, Turkey|Producer Companies List Turkey|FLY BOYA YAPI KIMYASALLARI INSAAT SAN. VE TIC. A.S.|Acrylic
48|Mevlana Mah., Kıbrıs Cad., No: 23/A, Ataşehir, İstanbul, Türkiye|Producer Companies List Turkey|KANYON INTERNATIONAL TRADE LTD. STI.|Acrylic
49|İTOB OSB 10001 Sokak, No: 20, Tekeli, Menderes, İzmir, Türkiye|Producer Companies List Turkey|ISONEM CONSTRUCTION CHEMICALS AND PAINT INDUSTRY TRADE CO. LTD.|Acrylic
50|Saray Mah., 1500 Sk., No: 21, Saray, Kazan, Ankara, Turkey|Producer Companies List Turkey|UCEL BOYA PAZARLAMA SAN. TIC. LTD. STI.|Acrylic
51|2. Organize Sanayi Bölgesi, Dursın Bak Bulvarı, Başpınar, Gaziantep, Turkey|Producer Companies List Turkey|GUR IPLIK SAN. VE TIC. A.S.|Acrylic
52|Bağlar Mah., Fidan Sk., No: 2/3  Bağcılar, İstanbul, Turkey|Producer Companies List Turkey|URAS TEKSTIL KIMYA TURIZM SAN. VE TIC. A.S.|Acrylic
