|Address|Category|Name|Subcategory
0|4. Organize San. Böl., 83414 No'lu Cad., No: 23, Gaziantep, Turkey|Building Materials|RIVA KECECI HALI TEKSTIL SAN. VE TIC. LTD. STI.|12X12 Ceramic Tile
1|Bağdat Cad., 157 / 4, Selamiçeşme 34738, Kadıköy, İstanbul, Turkey|Building Materials|BURCU HALI PARKE VE YAPI MALZEMELERI TIC. LTD. STI.|12X12 Ceramic Tile
2|Serçeönü Mah., Ahmet Paşa Cad., Uğur Plaza Kat:8 No:64, Kocasinan, Kayseri, Turkey|Building Materials|KAYSERI UNITED MAKINE MOBILYA ITHALAT IHRACAT IC VE DIS TICARET LTD. STI.|12X12 Ceramic Tile
3|Maltepe Mah., Dokumacılar Sitesi Sk., Hacıbey İş Hanı, No: 8/2, Zeytinburnu, İstanbul, Turkey|Building Materials|SAY PLASTIK INSAAT SAN. TIC. LTD. STI.|12X12 Ceramic Tile
4|Maltepe Mah., Dokumacılar Sitesi Sk., Hacıbey İş Hanı, No: 8/2, Zeytinburnu, İstanbul, Türkiye|Building Materials|SAY STEEL INOX CONSTRUCTION PRODUCTS|12X12 Ceramic Tile
5|Ata San. Karşısı, Hıdırlık Mevki 51100, Niğde, Turkey|Building Materials|MICRONIZED CALCITE |12X12 Ceramic Tile
6|Elazığ Karayolu Organize Sanayi Bölgesi, 17. Cadde, No:8, Diyarbakır, Turkey|Building Materials|KARAVIL DIS TICARET A.S |12X12 Ceramic Tile
7|Hakkı İleri Cad., Ömerli Mah., No: 74, Hadımköy, Arnavutköy, İstanbul, Turkey|Building Materials|NALBANTOGLU METAL SAN. TIC. LTD. STI.|12X12 Ceramic Tile
8|Kuştur Mevkii, Bayraklı Dede Mah., Curuise Alışveriş Merkezi, No: 1-2 Kuşadası, Aydın, Turkey|Building Materials|ERSOYLAR HEDIYELIK ESYA DERI KONFEKSIYON ITHALAT IHRACAT LTD. STI.|12X12 Ceramic Tile
9|Çimento Bulvarı, Adana Cumhuriyet Mah., No: 13, Yüreğir, Adana, Turkey|Building Materials|NUR KIREC SAN. TIC. VE PAZ. LTD. STI.|12X12 Ceramic Tile
10|Birinci Organize Sanayi, 1. Yol No: 9, Sakarya, Turkey|Building Materials|MISAN MUHENDISLIK IMALAT SAN. VE TIC. LTD. STI.|12X12 Ceramic Tile
11|Ferhatpasa Mah., Akdeniz Cad., G-57 Sk., No: 26/1, 34888, Atasehir, İstanbul, Turkey|Building Materials|DN MERMER ITHALAT IHRACAT PAZARLAMA VE TIC. LTD. STI.|12X12 Ceramic Tile
12|Demirtaş Mah., 77093 Sk., No: 1/A, Toroslar, Mersin, Turkey|Building Materials|IZOYAPI YALITIM AMBALAJ INSAAT SAN. VE TIC. A.S.|12X12 Ceramic Tile
13|Halaskargazi Cad. Alp Palas Apt. No: 25/16 Harbiye - İstanbul, Turkey|Building Materials|UTT ULUSLARARASI TEMSILCILIK INSAAT VE TIC. LTD. STI.|12X12 Ceramic Tile
14|OSB 10. Cad., No: 26, Melikgazi, Kayseri, Turkey|Building Materials|EGEMEN SAC DEMIR EGI. VE DAN. IC VE DIS TIC. LTD. STI.|12X12 Ceramic Tile
15|Hadımköy Mah. Alpaslan Sok. No:3 Arnavutköy - İstanbul, Turkey|Building Materials|TURKAL ALUMINYUM SAN. VE DIS TIC. LTD. STI.|12X12 Ceramic Tile
16|Ulus Mh. Ibrahim Pasa Sok. No 16A Tepecik-Buyukcekmece/Istanbul, Turkey|Building Materials|BYSAM KIMYA VE KOZMETIK SAN. TIC. LTD STI|12X12 Ceramic Tile
17|Organize Sanayi 2.Kısım 24. Cd. No: 18 - Antalya, Turkey|Building Materials|GLOBAL DEPO DEKORASYON URUNLERI MIMARLIK MUH. SAN. ITH. IHR. TIC. LTD. STI.|12X12 Ceramic Tile
18|Ilkbahar Mahallesi Galip Erdem Cad. 618. Sokak. No : 25, Cankaya, Ankara/Turkey|Building Materials|LIMIT DIABASE DIYABAZ BASALT BAZALT MONZONITE|12X12 Ceramic Tile
19|Anafartalar Cad. Mazı Sok. No: 5/A Saman Pazarı - Ankara, Turkey|Building Materials|ERCIYES DIS TICARET|12X12 Ceramic Tile
20|Izmir, Turkey|Building Materials|ADABORDUR SERAMIK|12X12 Ceramic Tile
21|"Burakhan Mermer Madencilik
Izmir Asfaltı, Bozburun Yolu 1.Km
Denizli, Turkey"|Building Materials|BURAKHAN MARBLE & TRAVERTINE|12X12 Ceramic Tile
22|Güllüpınar Mevkii, Seydiköy Burdur Turkey|Building Materials|KREMNA MARBLE COMPANY TURKEY|12X12 Ceramic Tile
23|Bölge Trafik Arkası Çardak Denizli Turkey|Building Materials|KONMER MARBLE & TRAVERTINE|12X12 Ceramic Tile
24|Terazidere Mah.Gunes Cad.No:1 34030 Bayrampasa-İstanbul-Turkey|Building Materials|SGS TOOLS FACTORY|12X12 Ceramic Tile
25|Haracci Merkez Mahallesi Eski Edirne Asfaltı 2011/6 Sokak No:4, Turkey|Building Materials|TASHAN NONSTICK KITCHENWARE|12X12 Ceramic Tile
26|"Tasocagi Caddesi No:3 Agaoglu Myoffıce 212 Kat:10/157 
Bagcilar, Istanbul / TURKEY"|Building Materials|ALTER CONSTRUCTION INVESTMENT MINIG &TRADING LTD.|12X12 Ceramic Tile
27|Ankara yolu 7.km ÇORUM|Building Materials|CORUM SAHIN MAKINA|12X12 Ceramic Tile
28|Şemsitap Sokak, Tırnakçı Han, No:5/15, Altıyol, Kadıköy, Istanbul, Turkey|Building Materials|LITHOSERA DIS TIARET LTD. STI.|12X12 Ceramic Tile
29|İzmir Aydin Asfaltı Üzeri No:36 Torbalı, İzmir, Turkey|Building Materials|YILDEMIR EXPORT|12X12 Ceramic Tile
