|Address|Category|Name|Subcategory
0|Büyükşehir Mah., Cumhuriyet Cad., Ekinoks Rezidans E1 Blok, K: 8 D: 117, Beylikdüzü, İstanbul, Turkey|Chemical|AL OFSET MATBAA SAN. VE TIC. LTD. STI.|Acetate
1|O.S.B. Mutfakçılar San. Sit. 14. Cd M-6 Blok No: 57 Başakşehir / İSTANBUL  |Chemical|CEVKO MATBAA AMBALAJ TANITIM URUNLERI ITH IHR TIC LDT STI|Acetate
2|Beysan Sanayi Sitesi,Fuar Cadesi NO 23, Beylikduzu 34524,|Chemical|SIMSA GROUP PRESS PROMOTION BOX INDUSTRY AND TRADE LTD. CO.|Acetate
3|Evren mh. Gülbahar cd. 6. Sk.  no:72 Güneşli  istanbul |Chemical|SAHINLER TIC.LTD.STI.|Acetate
4|Yalova Yolu 9. Km. Bursa, Turkey|Chemical|SONMEZ ASF IPLIK DOKUMA VE BOYA A.S.|Acetate
5|Güneşli Matbaacılar Sit. Güneşli Kavşağı Çınar Cad. No:4 Site No:22 Güneşli - İstanbul, Turkey|Chemical|GUNEY LASTIK - FEZA CILT BEZI SANAYII|Acetate
6|Çıtak Sokak No:15 Kavaklıdere Bornova/İzmir, Turkey|Chemical|CESA KIMYA GIDA ILAC DEZENFEKTAN VE TARIM URUN. TIC. LTD. STI.|Acetate
7|Gümüşsuyu Mahallesi Hariciye Konağı Sk. No:3/2/6 34437 Beyoğlu - İstanbul, Turkey|Chemical|PERI PARS PETROL SAN. VE TIC. A.S.|Acetate
8|Yenişehir Mah. M.Akyol Sok. Grup-Center Kule İş Mrk. Kat 8 N0:181 Pendik, Turkey|Chemical|HSM KIMYA SANAYI|Acetate
9|Sıracevızler Cad. Esen Sok No:6/28 Bomontı Sıslı  Turkey|Chemical|ARMAS TEKSTIL ASTAR VE TEKSTIL URUNLERI IMALAT - ITHALAT -DIS TICARET|Acetate
10|İkitelli Osb, Turkey|Chemical|ELIF ENDUSTRIYEL KIMYASALLARI SAN. VE DIS TIC. LTD. STI.|Acetate
11|"Cumhuriyet Mahallesi Erik Sokak No:26/3
Küçükçekmece, Istanbul, Turkey"|Chemical|FNC DIS TICARET LTD. STI.|Acetate
