|Address|Category|Name|Subcategory
0|DOSAB Papatya Sok. No: 6/1 Bursa, TURKEY|Hotel Textile|APOLENA|African Bed Linen
1|Yeni Mah., Oba Sk., No: 8, Karahallı, Uşak, Turkey|Hotel Textile|ERCANSOY TEKSTIL MOB. GIDA SAN. VE TIC. LTD. STI.|African Bed Linen
2|Çobançeşme Mah., Sanayi Cad., No: 78, Yenibosna, Bahçelievler, İstanbul, Turkey|Hotel Textile|BATHROBES TOWEL SENKO|African Bed Linen
3|Serçeönü Mah., Ahmet Paşa Cad., Uğur Plaza Kat:8 No:64, Kocasinan, Kayseri, Turkey|Hotel Textile|KAYSERI UNITED MAKINE MOBILYA ITHALAT IHRACAT IC VE DIS TICARET LTD. STI.|African Bed Linen
4|Saraylar Mah., Selçuk Cad., Karakurt İş Merkezi, No:6/312, Denizli, Türkiye|Hotel Textile|LINDEN TEKSTIL MERMER GIDA NAKLIYE ITHALAT IHRACAT SAN. VE TIC. LTD. STI.|African Bed Linen
5|Şenlikköy Mah., Billur Sk., No: 7/1, Bakırköy, İstanbul, Turkey|Hotel Textile|DEVREN BILGISAYAR BILISIM HIZMETLERI ELEKTRIK ELEKTRONIK SAN. VE TIC. LTD. STI.|African Bed Linen
6|Kocatepe Mah., Lamartine Cad., No: 5, Lamartine Binası, Kat: 6, 34437 Taksim, İstanbul, Turkey|Hotel Textile|AYGA TEXTILE|African Bed Linen
7|OSB Birinci Kısım, Nevzat Koru Cad., No: 34, Honaz, Denizli, Turkey|Hotel Textile|NISA BOYAHANE BOBIN BOYA TEKSTIL LTD. STI.|African Bed Linen
8|Büsan Organize Sanayi Bölgesi, Milenyum Caddesi, 10664 Sk., No: 40/B, Karatay, Konya, Turkey|Hotel Textile|SONKAR SOGUTMA VE ISITMA SISTEMLERI TARIM PETROL GIDA SAN. VE TIC. LTD. STI.|African Bed Linen
9|Çimento Bulvarı, Adana Cumhuriyet Mah., No: 13, Yüreğir, Adana, Turkey|Hotel Textile|NUR KIREC SAN. TIC. VE PAZ. LTD. STI.|African Bed Linen
10|75. Yıl Organize San. Böl., Şehitler Bulvarı, No: 2, Eskişehir, Turkey|Hotel Textile|ENTIL ENDUSTRI YATIRIMLARI VE TICARET A.S.|African Bed Linen
11|Organize Sanayi Bölgesi, 21. Cad. No: 15, Melikgazi, Kayseri, Turkey|Hotel Textile|DELTA ITH. IHR. VE DANIS. LTD. STI.|African Bed Linen
12|Altıntop Mahallesi, 834 Sokak, Çınar İşhanı, No: 74, 20100, Denizli, Turkey|Hotel Textile|TEKSTEL TELEKOMUNIKASYON TEKSTIL INSAAT TURIZM MUHENDISLIK SAN. TIC. LTD. STI.|African Bed Linen
13|"Örnek Sanayi Sitesi, 2 Nolu Cadde, No: 22,
Şehitkamil, Gaziantep, Turkey"|Hotel Textile|POLYMETAL KALIP PLASTIK SAN. VE TIC. LTD. STI.|African Bed Linen
14|Bozburun Mah., 7105 Sk., No: 1/1, Merkezefendi, Denizli, Turkey|Hotel Textile|PAK TEKSTIL SAN. VE TIC. LTD. STI.|African Bed Linen
15|Organize Sanayi Bölgesi, Nevzat Koru Cad., No: 46, 20330, Denizli, Turkey|Hotel Textile|GENTAFI DIS TICARET LTD. STI.|African Bed Linen
16|Saraylar Mah., Kocakaya Tekstilciler Çarşısı, No: 42, Denizli, Turkey|Hotel Textile|MESUT TEKSTIL - SABRI PARALI|African Bed Linen
17|1.Organize San. Bölgesi, İstikamet Cad., No:25, Konya, Turkey|Hotel Textile|SENKAR SOGUTMA DAYANIKLI TUKETIM MALZEMELERI HAYVAN GIDA SAN. VE TIC. LTD. STI.|African Bed Linen
18|Org. San. Böl., 18. Cad., No: 39, 38010, Kayseri, Turkey|Hotel Textile|NIL MOBILYA YATAK KANEPE SAN. TIC. A.S.|African Bed Linen
19|2. Org. San. Böl., Lalehan Cad., No: 61, Konya, Turkey|Hotel Textile|SELEKS IC VE DIS TIC. A.S.|African Bed Linen
20|Atatürk Mah., 57 Ada, Manolya 319 D: 13, Ataşehir, İstanbul, Turkey|Hotel Textile|PERPOLIO ITHALAT IHRACAT INSAAT GIDA TURIZM SAN. VE TIC. A.S.|African Bed Linen
21|Ata Çarşı K:4 D:60 Ataşehir Istanbul Turkey|Hotel Textile|BIRSAP SATINALMA VE LOJISTIK HIZMETLERI AS|African Bed Linen
22|Mermerciler San.Sit.No:8 / 2 Beylikdüzü / İstanbul Turkey|Hotel Textile|SIES UYKU SISTEMLERI|African Bed Linen
23|Modesa Mobilyacılar Sitesi Münzevi Kışla Cd. No:11/A Eyüp/ İstanbul Turkey|Hotel Textile|VETTA MOBILYA|African Bed Linen
24|Cumhuriyet Mah. Silahşör Cad. No:1/F Bomonti / Şişli / İstanbul, Turkey|Hotel Textile|NEZIH MOBILYA|African Bed Linen
25|Pelitbağ Mahallesi Hürriyet Caddesi No:64 Denizli Turkey|Hotel Textile|AYK ASANSOR|African Bed Linen
26|Sanayi Mah. Sancakli Cad. Imar Sok. Kale Is Merkezi 7B Blok No.2 34165 Güngören  Istanbul, Turkey|Hotel Textile|LINSET TEKSTIL DIS TICARET SAN. VE TIC. LTD. STI.|African Bed Linen
27|Cumhuriyet Mah. 213. Sk. No: 6 Demirtaş/Bursa, Turkey|Hotel Textile|PEREK EV TEKSTIL KONFEKSIYON SAN. VE TIC. A. S.|African Bed Linen
28|Organize Sanayi Bölgesi 30. Cad. No:166 Kayseri, Turkey|Hotel Textile|KUMSA MOBILYA SAN. TIC. LTD. STI.|African Bed Linen
29|Orhangazi Caddesi, Tınaztepe Sokak No: 27/1   Maltepe/İstanbul, Turkey|Hotel Textile|SARAY AHSAP MOBILYA DEK. SAN. TIC. LTD. STI.|African Bed Linen
30|DOSAB Papatya Sok. No: 6/1 Bursa, TURKEY|Hotel Textile|APOLENA|Beautiful Bed Linen
31|Çobançeşme Mah., Sanayi Cad., No: 78, Yenibosna, Bahçelievler, İstanbul, Turkey|Hotel Textile|BATHROBES TOWEL SENKO|Beautiful Bed Linen
32|Yeni Mah., Oba Sk., No: 8, Karahallı, Uşak, Turkey|Hotel Textile|ERCANSOY TEKSTIL MOB. GIDA SAN. VE TIC. LTD. STI.|Beautiful Bed Linen
33|Serçeönü Mah., Ahmet Paşa Cad., Uğur Plaza Kat:8 No:64, Kocasinan, Kayseri, Turkey|Hotel Textile|KAYSERI UNITED MAKINE MOBILYA ITHALAT IHRACAT IC VE DIS TICARET LTD. STI.|Beautiful Bed Linen
34|Saraylar Mah., Selçuk Cad., Karakurt İş Merkezi, No:6/312, Denizli, Türkiye|Hotel Textile|LINDEN TEKSTIL MERMER GIDA NAKLIYE ITHALAT IHRACAT SAN. VE TIC. LTD. STI.|Beautiful Bed Linen
35|OSB Birinci Kısım, Nevzat Koru Cad., No: 34, Honaz, Denizli, Turkey|Hotel Textile|NISA BOYAHANE BOBIN BOYA TEKSTIL LTD. STI.|Beautiful Bed Linen
36|Kocatepe Mah., Lamartine Cad., No: 5, Lamartine Binası, Kat: 6, 34437 Taksim, İstanbul, Turkey|Hotel Textile|AYGA TEXTILE|Beautiful Bed Linen
37|"Örnek Sanayi Sitesi, 2 Nolu Cadde, No: 22,
Şehitkamil, Gaziantep, Turkey"|Hotel Textile|POLYMETAL KALIP PLASTIK SAN. VE TIC. LTD. STI.|Beautiful Bed Linen
38|Bozburun Mah., 7105 Sk., No: 1/1, Merkezefendi, Denizli, Turkey|Hotel Textile|PAK TEKSTIL SAN. VE TIC. LTD. STI.|Beautiful Bed Linen
39|Saraylar Mah., Kocakaya Tekstilciler Çarşısı, No: 42, Denizli, Turkey|Hotel Textile|MESUT TEKSTIL - SABRI PARALI|Beautiful Bed Linen
40|Organize Sanayi Bölgesi, Nevzat Koru Cad., No: 46, 20330, Denizli, Turkey|Hotel Textile|GENTAFI DIS TICARET LTD. STI.|Beautiful Bed Linen
41|Organize Sanayi Bölgesi, 21. Cad. No: 15, Melikgazi, Kayseri, Turkey|Hotel Textile|DELTA ITH. IHR. VE DANIS. LTD. STI.|Beautiful Bed Linen
42|Altıntop Mahallesi, 834 Sokak, Çınar İşhanı, No: 74, 20100, Denizli, Turkey|Hotel Textile|TEKSTEL TELEKOMUNIKASYON TEKSTIL INSAAT TURIZM MUHENDISLIK SAN. TIC. LTD. STI.|Beautiful Bed Linen
43|Şenlikköy Mah., Billur Sk., No: 7/1, Bakırköy, İstanbul, Turkey|Hotel Textile|DEVREN BILGISAYAR BILISIM HIZMETLERI ELEKTRIK ELEKTRONIK SAN. VE TIC. LTD. STI.|Beautiful Bed Linen
44|Atatürk Mah., 57 Ada, Manolya 319 D: 13, Ataşehir, İstanbul, Turkey|Hotel Textile|PERPOLIO ITHALAT IHRACAT INSAAT GIDA TURIZM SAN. VE TIC. A.S.|Beautiful Bed Linen
45|Org. San. Böl., 18. Cad., No: 39, 38010, Kayseri, Turkey|Hotel Textile|NIL MOBILYA YATAK KANEPE SAN. TIC. A.S.|Beautiful Bed Linen
46|Mimar Sinan Mah., Çavuşbaşı Cad., Özge Sk., No: 8 Kat: 4 D: 9, 34782, Çekmeköy, İstanbul, Turkey|Hotel Textile|BB KOZMETIK SUKRAN UZ BAYRAKTARLAR|Beautiful Bed Linen
47|"FACTORIES ADDRES: SIVAS/TURKEY
BRANCH OFFICE: ANKARA,İSTANBUL,İZMİR"|Hotel Textile|NITROCARE & OFISLINE FURNITURE MANIFUCTURER|Beautiful Bed Linen
48|Sumer Mah., 2474 Sokak, No: 17, Merkezefendi, Denizli, Turkey|Hotel Textile|TEXTIL DEPO LTD. STI.|Beautiful Bed Linen
49|Barbaros Mah. Menekşe Sok. Deluxia Suites No:3 K:15 D:187|Hotel Textile|KMS TRADING|Beautiful Bed Linen
