|Address|Category|Name|Subcategory
0|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA MOBILYA INS. SAN. TIC. LTD. STI.|A Restaurant Equipment
1|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA OFFICE FURNITURE|A Restaurant Equipment
2|Akçeşme Mah., Gümüşler Bulvarı, No: 9, Ordu İş Merkezi, K: 2 D: 7, Merkezefendi, Denizli, Turkey|Catering Equipments|ONBASIOGLU TEKSTIL SAN. VE TIC. A.S.|A Restaurant Equipment
3|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|IFYIL STOVE|A Restaurant Equipment
4|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|FRESHBOX PLASTIK METAL REKLAM SAN. TIC. A.S.|A Restaurant Equipment
5|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|ROBERT SELTMANN COMPANY|A Restaurant Equipment
6|Konsan Özel Organize Sanayi Sitesi, 10727 Sk., No: 18, Karatay, Konya, Turkey|Catering Equipments|ELFAMAK|A Restaurant Equipment
7|Topçular Mah., Tikveşli Sokak, No: 11/4 Doku San. Sit., Topçular, Eyüp, İstanbul, Turkey|Catering Equipments|KLF OTOMOTIV|A Restaurant Equipment
8|Ziya Gökalp Mah., Masko Mobilyacılar Sit., 5-A Blok No: 13-15-17 PK: 34300, İkitelli, Başakşehir, İstanbul, Turkey|Catering Equipments|CAGIN BURO MOBILYA TIC. SAN. LTD. STI.|A Restaurant Equipment
9|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Catering Equipments|SEVENSAND AUTOMOTIVE SPARE PARTS|A Restaurant Equipment
10|Cumhuriyet Mah., Fatih Cad., Süleyman Bayır Apt. No: 53/D, Muratpaşa, Antalya, Turkey|Catering Equipments|WORLDTREAT WATER TREATMENT SYSTEMS|A Restaurant Equipment
11|Kartaltepe Mah., Hayırlı Cad., Yalçın Sok., No: 18, Sefaköy, İstanbul, Turkey|Catering Equipments|FENTES ISI SISTEMLERI SAN. VE TIC. LTD. STI.|A Restaurant Equipment
12|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|OZER TEKNIK ISI VE TESISAT TIC. LTD. STI.|A Restaurant Equipment
13|Organize Sanayi Bölgesi, Kızılırmak Cad., No: 13/2, Kutlukent, Samsun, Turkey|Catering Equipments|DEMA EGITIM ARACLARI MOBILYA DEKORASYON METAL SAN. VE TIC. LTD. STI.|A Restaurant Equipment
14|İkitelli OSB Marmara Sanayi Sitesi, G Blok No: 3,  Küçükçekmece, İstanbul, Turkey|Catering Equipments|MKD AYDINLATMA SAN. VE TIC. LTD. STI.|A Restaurant Equipment
15|Cumhuriyet Mah., Yalıntaş Cad., No: 13, Tatkavaklı Mustafa Kemal Paşa, Bursa, Turkey|Catering Equipments|HOSGOR PLASTIK AMBALAJ SAN. VE TIC. LTD. STI.|A Restaurant Equipment
16|Hisar Mah., Alpullu Cad., No: 22, Dizman PSJ K: 1 No: 3, Tekirdağ, Turkey|Catering Equipments|RODOSTO FOREIGN TRADE|A Restaurant Equipment
17|Talatpaşa Mahallesi, Fatih Sultan Mehmet Caddesi, No: 9, Esenyurt, İstanbul, Turkey|Catering Equipments|ALPTEKIN MAKINA ISI SAN. VE TIC. A.S.|A Restaurant Equipment
18|İmrahor Cad., Zorbayır Sok., No: 11, Sütlüce, İstanbul, Turkey|Catering Equipments|BUROSEREN MOBILYA DEKORASYON INSAAT SAN. VE TIC. LTD. STI.|A Restaurant Equipment
19|Ahmet Taner Kışlalı Mah., Güvengir 49 Başkent Sit., Açelya Sok., No: 23, Çayyolu, Ankara, Turkey|Catering Equipments|OZDILER SAGLIK HIZMETLERI TURIZM GIDA VE TEMIZLIK MADDELERI SAN. TIC. LTD. STI.|A Restaurant Equipment
20|Çamlıca Mah., Değirmenyolu Sok., Mütevelli Kasabası, Saruhanlı, Manisa, Turkey|Catering Equipments|GURES TAVUKCULUK URETIM PAZARLAMA VE TIC. A.S.|A Restaurant Equipment
21|Kostim Organize Sanayi Bölgesi, 10577 Sk., No: 17, Karatay, Konya, Turkey|Catering Equipments|MANASTECH MAKINE MUHENDISLIK SAN. TIC. LTD. STI.|A Restaurant Equipment
22|Bahçelievler Mah., Adnan Kahveci Bulvarı, Ünverdi Beyazlar İş Hanı No: 73/28, Bahçelievler, İstanbul, Turkey|Catering Equipments|NARYAA DANISMANIK DIS TICARET|A Restaurant Equipment
23|1202/1. Sok. (Eski 31. Sok.) No: 47, Ostim, Ankara, Turkey|Catering Equipments|EGE ATLAS IS MAKINALARI YEDEK PARCA SERVIS OTOMOTIV INSAAT NAKLIYE HARFIYAT ITHALAT IHRACAT SAN. TIC. LTD. STI.|A Restaurant Equipment
24|Kültür Mah., Emir Abdülkadir Cad., No: 211, 16080 Osmangazi, Bursa, Turkey|Catering Equipments|ARMADA OTOMASYON MAKINA METAL SAN. TIC. LTD. STI.|A Restaurant Equipment
25|Hürriyet Mah., Erler Sok., No:16/A, Kartal, İstanbul, Türkiye|Catering Equipments|METROPLAST ASANSOR MALZ. IMA. LTD. STI.|A Restaurant Equipment
26|Adana Hacı Sabancı Organize Sanayi Bölgesi, Celal Bayar Bulvarı, No: 31, Sarıçam, Adana, Turkey|Catering Equipments|ARTEK INSAAT TAAHHUT TURIZM TEKSTIL TARIM GIDA SAN. TIC. LTD. STI.|A Restaurant Equipment
27|"ASTİM Organize Sanayi Bölgesi, 1. Cadde, No: 110, Aydın, Turkey
-------------
Şerifali Mevkii, Bayraktar Bulvarı, Yükseliş Sok., No:5 Kat:1 34775, Ümraniye, İstanbul, Turkey"|Catering Equipments|HAUS SANTRIFUJ TEKNOLOJILERI SAN. TIC. LTD. STI.|A Restaurant Equipment
28|"Organize Sanayi Bölgesi, Merzifon, Amasya, Türkiye
"|Catering Equipments|KERVAN MAKINA SAN. TIC. LTD. STI.|A Restaurant Equipment
29|Malkara Yolu, 4. km, Tekirdağ, Turkey|Catering Equipments|EKIP TRAKTOR SAN. VE TIC. LTD. STI.|A Restaurant Equipment
30|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA MOBILYA INS. SAN. TIC. LTD. STI.|Affordable Catering Equipment
31|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA OFFICE FURNITURE|Affordable Catering Equipment
32|Topçular Mah., Tikveşli Sokak, No: 11/4 Doku San. Sit., Topçular, Eyüp, İstanbul, Turkey|Catering Equipments|KLF OTOMOTIV|Affordable Catering Equipment
33|Cumhuriyet Mah., Fatih Cad., Süleyman Bayır Apt. No: 53/D, Muratpaşa, Antalya, Turkey|Catering Equipments|WORLDTREAT WATER TREATMENT SYSTEMS|Affordable Catering Equipment
34|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Catering Equipments|SEVENSAND AUTOMOTIVE SPARE PARTS|Affordable Catering Equipment
35|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|OZER TEKNIK ISI VE TESISAT TIC. LTD. STI.|Affordable Catering Equipment
36|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|IFYIL STOVE|Affordable Catering Equipment
37|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|FRESHBOX PLASTIK METAL REKLAM SAN. TIC. A.S.|Affordable Catering Equipment
38|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|ROBERT SELTMANN COMPANY|Affordable Catering Equipment
39|Konsan Özel Organize Sanayi Sitesi, 10727 Sk., No: 18, Karatay, Konya, Turkey|Catering Equipments|ELFAMAK|Affordable Catering Equipment
40|Kartaltepe Mah., Hayırlı Cad., Yalçın Sok., No: 18, Sefaköy, İstanbul, Turkey|Catering Equipments|FENTES ISI SISTEMLERI SAN. VE TIC. LTD. STI.|Affordable Catering Equipment
41|İmrahor Cad., Zorbayır Sok., No: 11, Sütlüce, İstanbul, Turkey|Catering Equipments|BUROSEREN MOBILYA DEKORASYON INSAAT SAN. VE TIC. LTD. STI.|Affordable Catering Equipment
42|İkitelli OSB Marmara Sanayi Sitesi, G Blok No: 3,  Küçükçekmece, İstanbul, Turkey|Catering Equipments|MKD AYDINLATMA SAN. VE TIC. LTD. STI.|Affordable Catering Equipment
43|OSB. 24 Cad., No: 22, Kayseri, Turkey|Catering Equipments|ISIK ELEKTRIKLI EV ALET. MAK. MOB. TEKS. GIDA SAN. TIC. LTD. STI.|Affordable Catering Equipment
44|Bahçelievler Mah., Adnan Kahveci Bulvarı, Ünverdi Beyazlar İş Hanı No: 73/28, Bahçelievler, İstanbul, Turkey|Catering Equipments|NARYAA DANISMANIK DIS TICARET|Affordable Catering Equipment
45|Çamlıca Mah., Değirmenyolu Sok., Mütevelli Kasabası, Saruhanlı, Manisa, Turkey|Catering Equipments|GURES TAVUKCULUK URETIM PAZARLAMA VE TIC. A.S.|Affordable Catering Equipment
46|"ASTİM Organize Sanayi Bölgesi, 1. Cadde, No: 110, Aydın, Turkey
-------------
Şerifali Mevkii, Bayraktar Bulvarı, Yükseliş Sok., No:5 Kat:1 34775, Ümraniye, İstanbul, Turkey"|Catering Equipments|HA-US SANTRIFUJ TEKNOLOJILERI SAN. TIC. LTD. STI.|Affordable Catering Equipment
47|Konya Organize Sanayi ,Bölgesi Büyük Kayacık Mah., Güzelkonak Sok., No:6, Selçuklu, Konya, Turkey|Catering Equipments|SELVA GIDA SAN. A.S.|Affordable Catering Equipment
48|Birinci Organize Sanayi, 1. Yol No: 9, Sakarya, Turkey|Catering Equipments|MISAN MUHENDISLIK IMALAT SAN. VE TIC. LTD. STI.|Affordable Catering Equipment
49|1202/1. Sok. (Eski 31. Sok.) No: 47, Ostim, Ankara, Turkey|Catering Equipments|EGE ATLAS IS MAKINALARI YEDEK PARCA SERVIS OTOMOTIV INSAAT NAKLIYE HARFIYAT ITHALAT IHRACAT SAN. TIC. LTD. STI.|Affordable Catering Equipment
50|Kültür Mah., Emir Abdülkadir Cad., No: 211, 16080 Osmangazi, Bursa, Turkey|Catering Equipments|ARMADA OTOMASYON MAKINA METAL SAN. TIC. LTD. STI.|Affordable Catering Equipment
51|Uzayçağı Bulvarı, Ahenk İş Merkezi 76/35, Ostim, Ankara, Turkey|Catering Equipments|EYLI IS MAKINALARI OTOMOTIV INSAAT MAD. SAN. TIC. LTD. STI.|Affordable Catering Equipment
52|Plevne Cad., No: 40/B, Gülveren, Mamak, Ankara, Turkey|Catering Equipments|MUTAS MUTFAK ISITMA SISTEMLERI SAN. PAZARLAMA INSAAT TURIZM IC VE DIS TIC. LTD. STI.|Affordable Catering Equipment
53|Ceyhan Yolu Üzeri, Suluca Girişi, Sarıçam, Adana, Turkey|Catering Equipments|KOCABEY MAKINA SANAYI YEDEK PARCA HARFIYAT INSAAT TAAHHUT VE GIDA MADDELERI TIC. LTD. STI.|Affordable Catering Equipment
54|Talatpaşa Mahallesi, Fatih Sultan Mehmet Caddesi, No: 9, Esenyurt, İstanbul, Turkey|Catering Equipments|ALPTEKIN MAKINA ISI SAN. VE TIC. A.S.|Affordable Catering Equipment
55|"Organize Sanayi Bölgesi, Merzifon, Amasya, Türkiye
"|Catering Equipments|KERVAN MAKINA SAN. TIC. LTD. STI.|Affordable Catering Equipment
56|Adana Hacı Sabancı Organize Sanayi Bölgesi, Celal Bayar Bulvarı, No: 31, Sarıçam, Adana, Turkey|Catering Equipments|ARTEK INSAAT TAAHHUT TURIZM TEKSTIL TARIM GIDA SAN. TIC. LTD. STI.|Affordable Catering Equipment
57|Hisar Mah., Alpullu Cad., No: 22, Dizman PSJ K: 1 No: 3, Tekirdağ, Turkey|Catering Equipments|RODOSTO FOREIGN TRADE|Affordable Catering Equipment
58|Malkara Yolu, 4. km, Tekirdağ, Turkey|Catering Equipments|EKIP TRAKTOR SAN. VE TIC. LTD. STI.|Affordable Catering Equipment
59|Kostim Organize Sanayi Bölgesi, 10577 Sk., No: 17, Karatay, Konya, Turkey|Catering Equipments|MANASTECH MAKINE MUHENDISLIK SAN. TIC. LTD. STI.|Affordable Catering Equipment
60|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA MOBILYA INS. SAN. TIC. LTD. STI.|Banquet Equipment
61|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA OFFICE FURNITURE|Banquet Equipment
62|Topçular Mah., Tikveşli Sokak, No: 11/4 Doku San. Sit., Topçular, Eyüp, İstanbul, Turkey|Catering Equipments|KLF OTOMOTIV|Banquet Equipment
63|Cumhuriyet Mah., Fatih Cad., Süleyman Bayır Apt. No: 53/D, Muratpaşa, Antalya, Turkey|Catering Equipments|WORLDTREAT WATER TREATMENT SYSTEMS|Banquet Equipment
64|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Catering Equipments|SEVENSAND AUTOMOTIVE SPARE PARTS|Banquet Equipment
65|Kartaltepe Mah., Hayırlı Cad., Yalçın Sok., No: 18, Sefaköy, İstanbul, Turkey|Catering Equipments|FENTES ISI SISTEMLERI SAN. VE TIC. LTD. STI.|Banquet Equipment
66|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|OZER TEKNIK ISI VE TESISAT TIC. LTD. STI.|Banquet Equipment
67|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|IFYIL STOVE|Banquet Equipment
68|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|FRESHBOX PLASTIK METAL REKLAM SAN. TIC. A.S.|Banquet Equipment
69|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|ROBERT SELTMANN COMPANY|Banquet Equipment
70|Konsan Özel Organize Sanayi Sitesi, 10727 Sk., No: 18, Karatay, Konya, Turkey|Catering Equipments|ELFAMAK|Banquet Equipment
71|Talatpaşa Mahallesi, Fatih Sultan Mehmet Caddesi, No: 9, Esenyurt, İstanbul, Turkey|Catering Equipments|ALPTEKIN MAKINA ISI SAN. VE TIC. A.S.|Banquet Equipment
72|"Organize Sanayi Bölgesi, Merzifon, Amasya, Türkiye
"|Catering Equipments|KERVAN MAKINA SAN. TIC. LTD. STI.|Banquet Equipment
73|Hisar Mah., Alpullu Cad., No: 22, Dizman PSJ K: 1 No: 3, Tekirdağ, Turkey|Catering Equipments|RODOSTO FOREIGN TRADE|Banquet Equipment
74|Malkara Yolu, 4. km, Tekirdağ, Turkey|Catering Equipments|EKIP TRAKTOR SAN. VE TIC. LTD. STI.|Banquet Equipment
75|Organize Sanayi Bölgesi, Kızılırmak Cad., No: 13/2, Kutlukent, Samsun, Turkey|Catering Equipments|DEMA EGITIM ARACLARI MOBILYA DEKORASYON METAL SAN. VE TIC. LTD. STI.|Banquet Equipment
76|İmrahor Cad., Zorbayır Sok., No: 11, Sütlüce, İstanbul, Turkey|Catering Equipments|BUROSEREN MOBILYA DEKORASYON INSAAT SAN. VE TIC. LTD. STI.|Banquet Equipment
77|Cumhuriyet Mah., Yalıntaş Cad., No: 13, Tatkavaklı Mustafa Kemal Paşa, Bursa, Turkey|Catering Equipments|HOSGOR PLASTIK AMBALAJ SAN. VE TIC. LTD. STI.|Banquet Equipment
78|Kostim Organize Sanayi Bölgesi, 10577 Sk., No: 17, Karatay, Konya, Turkey|Catering Equipments|MANASTECH MAKINE MUHENDISLIK SAN. TIC. LTD. STI.|Banquet Equipment
79|Bahçelievler Mah., Adnan Kahveci Bulvarı, Ünverdi Beyazlar İş Hanı No: 73/28, Bahçelievler, İstanbul, Turkey|Catering Equipments|NARYAA DANISMANIK DIS TICARET|Banquet Equipment
80|İkitelli OSB Marmara Sanayi Sitesi, G Blok No: 3,  Küçükçekmece, İstanbul, Turkey|Catering Equipments|MKD AYDINLATMA SAN. VE TIC. LTD. STI.|Banquet Equipment
81|Ahmet Taner Kışlalı Mah., Güvengir 49 Başkent Sit., Açelya Sok., No: 23, Çayyolu, Ankara, Turkey|Catering Equipments|OZDILER SAGLIK HIZMETLERI TURIZM GIDA VE TEMIZLIK MADDELERI SAN. TIC. LTD. STI.|Banquet Equipment
82|Çamlıca Mah., Değirmenyolu Sok., Mütevelli Kasabası, Saruhanlı, Manisa, Turkey|Catering Equipments|GURES TAVUKCULUK URETIM PAZARLAMA VE TIC. A.S.|Banquet Equipment
83|1202/1. Sok. (Eski 31. Sok.) No: 47, Ostim, Ankara, Turkey|Catering Equipments|EGE ATLAS IS MAKINALARI YEDEK PARCA SERVIS OTOMOTIV INSAAT NAKLIYE HARFIYAT ITHALAT IHRACAT SAN. TIC. LTD. STI.|Banquet Equipment
84|Kültür Mah., Emir Abdülkadir Cad., No: 211, 16080 Osmangazi, Bursa, Turkey|Catering Equipments|ARMADA OTOMASYON MAKINA METAL SAN. TIC. LTD. STI.|Banquet Equipment
85|Hürriyet Mah., Erler Sok., No:16/A, Kartal, İstanbul, Türkiye|Catering Equipments|METROPLAST ASANSOR MALZ. IMA. LTD. STI.|Banquet Equipment
86|"ASTİM Organize Sanayi Bölgesi, 1. Cadde, No: 110, Aydın, Turkey
-------------
Şerifali Mevkii, Bayraktar Bulvarı, Yükseliş Sok., No:5 Kat:1 34775, Ümraniye, İstanbul, Turkey"|Catering Equipments|HAUS SANTRIFUJ TEKNOLOJILERI SAN. TIC. LTD. STI.|Banquet Equipment
87|Uzayçağı Bulvarı, Ahenk İş Merkezi 76/35, Ostim, Ankara, Turkey|Catering Equipments|EYLI IS MAKINALARI OTOMOTIV INSAAT MAD. SAN. TIC. LTD. STI.|Banquet Equipment
88|Ceyhan Yolu Üzeri, Suluca Girişi, Sarıçam, Adana, Turkey|Catering Equipments|KOCABEY MAKINA SANAYI YEDEK PARCA HARFIYAT INSAAT TAAHHUT VE GIDA MADDELERI TIC. LTD. STI.|Banquet Equipment
89|Adana Hacı Sabancı Organize Sanayi Bölgesi, Celal Bayar Bulvarı, No: 31, Sarıçam, Adana, Turkey|Catering Equipments|ARTEK INSAAT TAAHHUT TURIZM TEKSTIL TARIM GIDA SAN. TIC. LTD. STI.|Banquet Equipment
90|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA MOBILYA INS. SAN. TIC. LTD. STI.|Banquet Kitchen Equipment
91|"Masko Mobilyacılar Sitesi, 7/A Blok No: 40-42-44, 
Başakşehir, İstanbul, Turkey"|Catering Equipments|ZIVELLA OFFICE FURNITURE|Banquet Kitchen Equipment
92|Hamidiye Mah., 267 Sk., Kardesler Apt., No: 1, Sanliurfa, Turkey|Catering Equipments|ATLAS INSAAT TIC. VE SAN. LTD. STI.|Banquet Kitchen Equipment
93|Konsan Özel Organize Sanayi Sitesi, 10727 Sk., No: 18, Karatay, Konya, Turkey|Catering Equipments|ELFAMAK|Banquet Kitchen Equipment
94|Serçeönü Mah., Ahmet Paşa Cad., Uğur Plaza Kat:8 No:64, Kocasinan, Kayseri, Turkey|Catering Equipments|KAYSERI UNITED MAKINE MOBILYA ITHALAT IHRACAT IC VE DIS TICARET LTD. STI.|Banquet Kitchen Equipment
95|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|FRESHBOX PLASTIK METAL REKLAM SAN. TIC. A.S.|Banquet Kitchen Equipment
96|Uncalı Mah., 1254 Sk., Çayırla Hasan Sit. B Apt. No: 11 BA İç Kapı No: 1, Konyaaltı, Antalya, Turkey|Catering Equipments|ROBERT SELTMANN COMPANY|Banquet Kitchen Equipment
97|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Catering Equipments|SEVENSAND AUTOMOTIVE SPARE PARTS|Banquet Kitchen Equipment
98|Çobançeşme Mah., Sanayi Cad., No: 78, Yenibosna, Bahçelievler, İstanbul, Turkey|Catering Equipments|BATHROBES TOWEL SENKO|Banquet Kitchen Equipment
99|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|OZER TEKNIK ISI VE TESISAT TIC. LTD. STI.|Banquet Kitchen Equipment
100|Keresteciler Sanayi Sitesi, 12. Sk. No: 2-4, Başakşehir, İstanbul, Turkey|Catering Equipments|FSM FAUCET|Banquet Kitchen Equipment
101|İncili Pınar Mah., Nişantaşı Sok., F.H İş Merkezi, No: 11, Kat: 2, D/1, Şehitkamil, Gaziantep, Turkey|Catering Equipments|F&M SAN GIDA DIS TIC. LTD. STI.|Banquet Kitchen Equipment
102|Hançerli Mh., 100. Yıl Bulvarı, No: 37, İlkadim, Samsun, Turkey|Catering Equipments|IFYIL STOVE|Banquet Kitchen Equipment
103|Fevzi Çakmak Mah., Ayyıldız Cad., No: 69, Karatay, Konya, Turkey|Catering Equipments|SUMAK METAL DEGIRMEN MAKINELERI PETROL OTOMOTIV INSAAT SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
104|Zafer Mh., 177. SK., No: 2, Esenyurt, İstanbul, Turkey|Catering Equipments|SUNNY ELEKTRONIK|Banquet Kitchen Equipment
105|Topçular Mah., Tikveşli Sokak, No: 11/4 Doku San. Sit., Topçular, Eyüp, İstanbul, Turkey|Catering Equipments|KLF OTOMOTIV|Banquet Kitchen Equipment
106|Cumhuriyet Mah., Fatih Cad., Süleyman Bayır Apt. No: 53/D, Muratpaşa, Antalya, Turkey|Catering Equipments|WORLDTREAT WATER TREATMENT SYSTEMS|Banquet Kitchen Equipment
107|Zafer Mh., 177. SK., No: 2, Esenyurt, İstanbul, Turkey|Catering Equipments|ATMACA ELEKTRONIK SAN. VE TIC. A.S.|Banquet Kitchen Equipment
108|Kartaltepe Mah., Hayırlı Cad., Yalçın Sok., No: 18, Sefaköy, İstanbul, Turkey|Catering Equipments|FENTES ISI SISTEMLERI SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
109|Akçeşme Mah., Bozburun Cad., No:28, Gümüşler, Denizli, Turkey|Catering Equipments|OZER TEKSTIL SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
110|4. Organize San. Böl., 83414 No'lu Cad., No: 23, Gaziantep, Turkey|Catering Equipments|RIVA KECECI HALI TEKSTIL SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
111|7010 Sok No 44 Gürpınar Mah. Pınarbaşı - İzmir, Turkey|Catering Equipments|PRESTIJ INSAAT MERMER ALUMINYUM MOBILYA NAKLIYE TURIZM SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
112|Ahmet Taner Kışlalı Mah., Güvengir 49 Başkent Sit., Açelya Sok., No: 23, Çayyolu, Ankara, Turkey|Catering Equipments|OZDILER SAGLIK HIZMETLERI TURIZM GIDA VE TEMIZLIK MADDELERI SAN. TIC. LTD. STI.|Banquet Kitchen Equipment
113|Birinci Organize Sanayi, 1. Yol No: 9, Sakarya, Turkey|Catering Equipments|MISAN MUHENDISLIK IMALAT SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
114|İskele Cad., No: 5, Yazıbaşı, Torbalı, İzmir, Turkey|Catering Equipments|GOKTAS MOBILYA MUTFAK SAN VE TIC. LTD. STI.|Banquet Kitchen Equipment
115|OSB. 24 Cad., No: 22, Kayseri, Turkey|Catering Equipments|ISIK ELEKTRIKLI EV ALET. MAK. MOB. TEKS. GIDA SAN. TIC. LTD. STI.|Banquet Kitchen Equipment
116|Organize Sanayi Bölgesi, 21. Cad. No: 15, Melikgazi, Kayseri, Turkey|Catering Equipments|DELTA ITH. IHR. VE DANIS. LTD. STI.|Banquet Kitchen Equipment
117|"ASTİM Organize Sanayi Bölgesi, 1. Cadde, No: 110, Aydın, Turkey
-------------
Şerifali Mevkii, Bayraktar Bulvarı, Yükseliş Sok., No:5 Kat:1 34775, Ümraniye, İstanbul, Turkey"|Catering Equipments|HA-US SANTRIFUJ TEKNOLOJILERI SAN. TIC. LTD. STI.|Banquet Kitchen Equipment
118|Urfa Yolu 14. km, Yenişehir, Diyarbakır, Turkey|Catering Equipments|MESUT MADENCILIK INSAAT NAKLIYE SAN. VE TIC. LTD. STI.|Banquet Kitchen Equipment
119|Beyazıt Mah. Mühürdar Emin Paşa Sk. Kardeşler Han. No: B/2 Mercan-Fatih - İstanbul, Turkey|Catering Equipments|VORA TEKSTIL KAGIT VE TEMIZLIK URUNLERI DIS TICARET LTD. STI.|Banquet Kitchen Equipment
120|Organize Sanayi Bölgesi Avrupa Hun Bulvarı No:8 06935 Sincan - Ankara, Turkey|Catering Equipments|FIRAT PLASTIK KAUCUK SAN. VE TIC. A.S.|Banquet Supplies
121|İncili Pınar Mah., Nişantaşı Sok., F.H İş Merkezi, No: 11, Kat: 2, D/1, Şehitkamil, Gaziantep, Turkey|Catering Equipments|F&M SAN GIDA DIS TIC. LTD. STI.|Banquet Supplies
122|Feritpaşa Mah., Kerkük Cad., Plastikçiler Sit., Güneyyurt Sk., No: 10, Selçuklu, Konya, Turkey|Catering Equipments|GURCAN ECZA DEPOSU VE ILAC TIC. LTD. S TI.|Banquet Supplies
123|M. Nesih Özmen Mah., Ceviz Sk., No: 3/B K: 2, Merter, Güngören, İstanbul, Turkey|Catering Equipments|INCPHARMA ILAC SAN. VE TIC. LTD. STI.|Banquet Supplies
