|Address|Category|Name|Subcategory
0|OSB Ahi Evran Mahallesi, Oğuz Cadde, No: 43, Sincan, Ankara, Turkey|Engine Parts|GOKER IS MAKINALARI SANAYI VE TIC. A.S.|4 Cylinder Cummins
1|Uzayçağı Bulvarı, Ahenk İş Merkezi 76/35, Ostim, Ankara, Turkey|Engine Parts|EYLI IS MAKINALARI OTOMOTIV INSAAT MAD. SAN. TIC. LTD. STI.|4 Cylinder Cummins
2|Turkey|Engine Parts|AUTOMOTIVE CRANKSHAFT VE CYLINDER HEAD|4 Cylinder Cummins
3|Org. San. Böl., Kuddusi Cad., No: 25, Selçuklu, Konya, Turkey|Engine Parts|HIPOMAK DIS TICARET HIDROLIK MAKINA  TIC. LTD. STI.|4 Cylinder Cummins
4|Üniversite Caddesi No.55 Bornova-İzmir, Turkey|Engine Parts|CENMAK LTD. PISTON LINER RING MANIFOLDS GASKETS WHEELS|4 Cylinder Cummins
5|Tuzla Mermerciler Organize Sanayi Bolgesi 1. Sk. No:14 Tuzla, Turkey|Engine Parts|ORGAZ GAZ ALETLERI SAN. VE TIC. LTD. STI.|4 Cylinder Cummins
6|Tepeoren Koyu Gocbeylı Yolu No:17 Tuzla, Turkey|Engine Parts|ITAL-NET OTOMOTIV LTD|4 Cylinder Cummins
7|2. Organize San. Böl. Lalehan Cad. No:7 Konya, Turkey|Engine Parts|SAY-MAK MAK. GUILLOTINE SHEARS POWER HAMMER|4 Cylinder Cummins
8|Hamidiye Mah. Ataturk Cad. No:274, Turkey|Engine Parts|GURALSAN OTOMOTIV|4 Cylinder Cummins
9|Büsan Osb Çelik Cad. No:35 Konya, Turkey|Engine Parts|SERTSAN CIVATA SANAYI BOLTS NUTS|4 Cylinder Cummins
10|2. Org. San. Bol. Kırım Cd. No:13, Turkey|Engine Parts|CONTA-SAN POWER GASKETS PRODUCTION|4 Cylinder Cummins
11|K.San.Sit.73.Sok.No:3, Turkey|Engine Parts|HYDROKOZ LTD.CO.|4 Cylinder Cummins
12|Büsan Özel Organize Sanayi Kosgeb Cad. 1.Sk. No: 53 Konya, Turkey|Engine Parts|ARS-KAR LTD. BRAKE MASTER CYLINDER BRAKE CHAMBER|4 Cylinder Cummins
13|Büsan Özel Organize Sanayi Çelik Caddesi No: 45 Konya/Turkey|Engine Parts|CHELEBILER HYDRAULICS HYDRAULIC PUMP AND PTO MANUFACTURING CO|4 Cylinder Cummins
14|Iı. Organize Sanayi Bölgesi Lalehan Caddesi No: 29 Selçuklu - Konya, Turkey|Engine Parts|KONYA METALURJI DOKUM SAN. VE TIC. LTD. STI.|4 Cylinder Cummins
15|Fevzi Cakmak Mah No:62, Turkey|Engine Parts|BERATEK HYDRAULICS|4 Cylinder Cummins
16|Hüdavendigar Mh. Derince Sk. Örnek Apt. Osmangazi , Turkey|Engine Parts|GAZ-LAB OKSIJEN AZOT LTD|4 Cylinder Cummins
17|"Demirciler Çarşısı , Hastahane Yolu, Baltaş Sanayi Sitesi No:126 Maltepe/ Topkapı
, Turkey"|Engine Parts|ALTINBOGA GAZ ALETLERI MAKINA SAN VE TIC AS|4 Cylinder Cummins
18|Orhangazi Mah. Adım Sok. No:13-A Maltepe-İstanbul, Turkey|Engine Parts|TARLAN KIMYA TEMIZLIK SANAYI  LTD STI.|4 Cylinder Cummins
19|2. Organize Sanayi Bölgesi Lalehan Cad. No: 20 Konya / Turkey|Engine Parts|DORMAKSAN A.S. AUTOGAS LPG TANKS AUTO LPG SYSTEM KITS|4 Cylinder Cummins
20|fatih mah.yeni sanayi cad.no:10/3 selçuklu, KONYA, TURKEY|Engine Parts|OTO BOYALI MOTOR YEDEK PARCA|4 Cylinder Cummins
21|Ferah Mh. Ferah Cd. No:117 Camlica-Istanbul, Turkey|Engine Parts|UGS-ULTRAGAS LPG & CNG|4 Cylinder Cummins
22|Hazım Ulusahin İş Merkezi A Blok No 162, Turkey|Engine Parts|CNC TRUCK TRAILER BODY PARTS |4 Cylinder Cummins
23|1.Org.San.İstikamet Cad.No:24Selçuklu / Konya / Turkey|Engine Parts|HIDROLIKSAN HALIM USTA SHEET FORMING HYDRAULIC PRESS|4 Cylinder Cummins
24|"Yalçın Koreş Cad. Fidan Sok.
No:2/5 Yenibosna, Turkey"|Engine Parts|VAHDET TEKSTIL MAKINA SAN. TIC LTD. STI|4 Cylinder Cummins
25|Kostim Özel Organize Sanayi Sit.Nur Sok. No:2-4 Selçuklu, Turkey|Engine Parts|HMS OZCEYLANLAR HIDROLIK MAKINA SAN.TIC.A.S.|4 Cylinder Cummins
26|Atatürk Mah. Orhanveli Cad. No:19 Esenyurt-İstanbul, Turkey|Engine Parts|BASBUG OTO YEDEK PARCA SAN. ITH. IHR. VE TIC. A.S.|4 Cylinder Cummins
27|"Fatih Mh. Oto Parçacılar Sitesi Boyluca Sk. C Blok 
No:28 Selçuklu Konya Turkey"|Engine Parts|MARKET ISTANBUL ENGINEERING AUTOMOTIVE FOREIGN TRADE|4 Cylinder Cummins
28|Hacı Sabancı Organize Sanayi Bölgesi Çanakkale Cad. No: 4 Sarıçam - Adana, Turkey|Engine Parts|ILMER DOKUM VE YEDEK PARCA SAN. TIC. LTD. STI.|4 Cylinder Cummins
29|"Büsan Sanayi Kosgeb Cd. No:16 Karatay / Konya
, Turkey"|Engine Parts|SANDIKCILAR MAKINE SAN VE TIC.A.S.|4 Cylinder Cummins
30|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Engine Parts|SEVENSAND IC VE DIS TIC. LTD. STI.|4Bt Cummins Engine
31|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Engine Parts|SEVENSAND AUTOMOTIVE SPARE PARTS|4Bt Cummins Engine
32|Uzayçağı Bulvarı, Ahenk İş Merkezi 76/35, Ostim, Ankara, Turkey|Engine Parts|EYLI IS MAKINALARI OTOMOTIV INSAAT MAD. SAN. TIC. LTD. STI.|4Bt Cummins Engine
33|Koşuyolu Cad., Koşuyolu Mah., No: 108/2, Kadıköy, İstanbul, Turkey|Engine Parts|ONUR DIS TICARET DANISMANLIK VE GIDA SAN. LTD. STI.|4Bt Cummins Engine
34|Konsan San. Sit.,Fevzi Çakmak Mah.,10726 Sk., No: 13, Karatay, Konya, Turkey|Engine Parts|PROTON METAL DOKUM TALASLI IMALAT SAN. VE TIC. LTD. STI.|4Bt Cummins Engine
35|İkitelli OSB Dolapdere San. Sit., 12. Ada, No: 53, Başakşehir, İstanbul, Turkey|Engine Parts|INTER OTOMOTIV YEDEK PARCA ITHALAT IHRACAT SAN. TIC. LTD. STI.|4Bt Cummins Engine
36|Fevzi Çakmak Mah., Büsan Org. San., 10635 Sk. No: 10, Karatay, Konya, Turkey|Engine Parts|MURAT OTOMOTIV TIC. LTD. STI.|4Bt Cummins Engine
37|Turkey|Engine Parts|AUTOMOTIVE CRANKSHAFT VE CYLINDER HEAD|4Bt Cummins Engine
38|Kerimbey Mevkii 12.Km, Turkey|Engine Parts|FKK GUNEY OTO LASTIK TAKOZ SANAYI VE TICARET A.S.|4Bt Cummins Engine
39|Horozluhan Mahallesi Ulus Sk.No:10 Selcuklu/Konya, Turkey|Engine Parts|YEKPAR OTOMOTIV YEDEK PARCA SAN. TIC. LTD. STI.|4Bt Cummins Engine
40|İkitelli, Turkey|Engine Parts|CELIK CONTA SAN.TIC  (IMSP)|4Bt Cummins Engine
41|Bakır Ve Pirinç Sanayicileri Sitesi Mustafa Kurtoğlu Caddesi No :18 Beylikdüzü/İstanbul/Turkey|Engine Parts|PANOTO RADIATOR|4Bt Cummins Engine
42|Yeni Maltepe Yolu Emintaş Akel İş Merkezi No:152-153 Bayrampaşa/İstanbul/Turkey|Engine Parts|KORAY OTOMAT TALASLI IMALAT SANAYI|4Bt Cummins Engine
43|Namık Kemal Cd., No:31/A., Avcılar., İSTANBUL|Engine Parts|DOGAN PETROL|4Bt Cummins Engine
44|Şanlı Urfa Yolu Üzeri 8. Km - Diyarbakır, Turkey|Engine Parts|DIYARMAN OTOMOTIV SAN. TIC. LTD. STI.|4Bt Cummins Engine
45|Vezirciftligi Mah. Gedik Sok. No:3 Basiskele/Kocaeli, Turkey|Engine Parts|MENGUC PETROL URUNLERI PAZARLAMA LTD.STI.|4Bt Cummins Engine
46|İkitelli Organize Sanayi Bölgesi Dolapdere Sanayi Sitesi 3.Ada No:12-14-16 İkitelli / İstanbul / Turkey|Engine Parts|SERDAR OTOMOTIV|4Bt Cummins Engine
47|İkitelli, Turkey|Engine Parts|OTO CONTA|4Bt Cummins Engine
48|Fevzi Çakmak Mh. Hüdai Cad. Efediyar Sk. No: 13 Konya, Turkey|Engine Parts|MAKROMET AS|4Bt Cummins Engine
49|S.S. Başkent Orta Anadolu Kooperatifi 659. Sokak No: 19 İvedik Org. San. Sitesi Ostim - Ankara, Turkey|Engine Parts|MGN MEKANIK IS|4Bt Cummins Engine
50|Kemalpaşa O.S.B. 68 Sok. No: 10 Kemalpaşa - İzmir, Turkey|Engine Parts|VOLTSAN ELEKTRIK MAKINA KALIP SAN. TIC. A.S.|4Bt Cummins Engine
51|Istasyon Mah. Beyazit Cad. 24, Gebze-41700/Kocaeli, Turkey|Engine Parts|TARIMSAN A.S.|4Bt Cummins Engine
52|Adnan Kahveci Mah   Osmanli  Cad  No:58/37  Beylikduzu|Engine Parts|TURNESOL MAKINA EKIPMANLARI VE YEDEK PARCA SAN TIC  LTD STI|4Bt Cummins Engine
53|Sanayi Sit.324/1 I Sokak K Nderun İskenderun / Hatay, Turkey|Engine Parts|ALPASLAN OTO TAMIR SANAYI VE TICARET LIMITED SIRKETI|4Bt Cummins Engine
54|Hastane Mah. Turgut Özal Bulvarı 102 Sokak No: 41 (Shell Benzinlik Yanı) Hadımköy, Turkey|Engine Parts|PEHLIVANAUTO|4Bt Cummins Engine
55|Mimar Sinan Mah. Yedpa Ticaret Merkezi E Caddesi No:107-108 Ataşehir - İstanbul, Turkey|Engine Parts|SEDA MAKINA OTOMOTIV SAN. TIC. LTD. STI.|4Bt Cummins Engine
56|Sakarya/Turkey|Engine Parts|MHS GROUP|4Bt Cummins Engine
