|Address|Category|Name|Subcategory
0|Akçeşme Mah., Bozburun Cad., No:28, Gümüşler, Denizli, Turkey|Textile|OZER TEKSTIL SAN. VE TIC. LTD. STI.|100 Cotton Yarn
1|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Textile|SEVENSAND TEXTILE|100 Cotton Yarn
2|Çobançeşme Mah., Sanayi Cad., No: 78, Yenibosna, Bahçelievler, İstanbul, Turkey|Textile|BATHROBES TOWEL SENKO|100 Cotton Yarn
3|Çobançeşme Mah., Sanayi Cad., No: 78, Yenibosna, Bahçelievler, İstanbul, Turkey|Textile|TOP CLOTHINGS SENKO|100 Cotton Yarn
4|Yeni Mah., Oba Sk., No: 8, Karahallı, Uşak, Turkey|Textile|ERCANSOY TEKSTIL MOB. GIDA SAN. VE TIC. LTD. STI.|100 Cotton Yarn
5|Fevzipaşa Mah., Barbaros Cad., No: 49, Çerkezköy, Tekirdağ, Turkey|Textile|POLAR MAKINA OTOM. ELE. ELEKT. ENER. URE. SAN. IC VE DIS TIC. LTD. STI.|100 Cotton Yarn
6|Demirtaş Organize San.Böl., Zambak Sok., No:2/A, Osmangazi, Bursa, Turkey|Textile|GIPECILER TEKSTIL SAN. VE TIC. A.S |100 Cotton Yarn
7|Organize San. Böl., 1. Kısım, Merkez, Tokat, Turkey|Textile|HAS OZGEN TEKSTIL SAN. VE TIC. A.S.|100 Cotton Yarn
8|Organize San. Böl., No: 12, Tokat, Turkey|Textile|ERBAA SENTURK TEKSTIL SAN. VE TIC. A.S.|100 Cotton Yarn
9|Telsiz Mahallesi, Menekşe Sok., No 12/A, Zeytinburnu, İstanbul, Turkey|Textile|HAKSOY KUMAS|100 Cotton Yarn
10|Yeni Bosna Merkez Mah., Profesör Doktor Nevzat Pisak Cad., No: 10, Bahçelievler, İstanbul, Turkey|Textile|KARADENIZ ORME SAN. VE DIS TIC. A.S.|100 Cotton Yarn
11|Gaziosmanpaşa Bulvarı, Kızılırmak İş Merkezi, No: 58/503, Çankaya, İzmir, Turkey|Textile|MAYYANA TEKSTIL SAN. TIC. LTD. STI.|100 Cotton Yarn
12|Telsiz Mah., G.9 Sok., No: 6/A Zeytinburnu, İstanbul, Turkey|Textile|SM TEKSTIL SAN. VE TIC. LTD. STI.|100 Cotton Yarn
13|Organize Sanayi Bölgesi, Şabanoğlu Mah., Yeşilırmak Cad., No:12, Tekkeköy, Samsun, Turkey|Textile|ARBEN MEDIKAL TEKS. ITH. IHR. SAN. VE TIC. LTD. STI.|100 Cotton Yarn
14|Altıntop Mahallesi, 834 Sokak, Çınar İşhanı, No: 74, 20100, Denizli, Turkey|Textile|TEKSTEL TELEKOMUNIKASYON TEKSTIL INSAAT TURIZM MUHENDISLIK SAN. TIC. LTD. STI.|100 Cotton Yarn
15|1. Organize San. Böl., 12 No'lu Cad., No: 2, Başpınar, Şehitkamil, Gaziantep, Turkey|Textile|PAPATYA PAMUK VE KOZMETIK SAN. TIC. LTD. STI.|100 Cotton Yarn
16|"Korkun Mh., Sabahattin Çakmakoglu Cd., No:7, Oguzeli, 
Gaziantep, Turkey"|Textile|BARRACUDA IC VE DIS TICARET LTD. STI.|100 Cotton Yarn
17|Mehmet Nezis Özmen Mh., Ardıç Sk., No: 7/A, Merter, İstanbul, Turkey|Textile|TUSA DIS TICARET A.S.|100 Cotton Yarn
18|Organize Sanayi Bölgesi, Nevzat Koru Cad., No: 46, 20330, Denizli, Turkey|Textile|GENTAFI DIS TICARET LTD. STI.|100 Cotton Yarn
19|Osmangazi Mah., 3141 Sok., No: 10-12/4, Esenyurt, İstanbul, Turkey|Textile|ULAS CORAP SAN. TEKS. VE DIS TIC. LTD. STI.|100 Cotton Yarn
20|2. Organize Sanayi Bölgesi, Dursın Bak Bulvarı, Başpınar, Gaziantep, Turkey|Textile|GUR IPLIK SAN. VE TIC. A.S.|100 Cotton Yarn
21|Yenişehir Mah., Özgür Sok., No: 16, Ataşehir, İstanbul, Turkey|Textile|BERKO ILAC VE KIMYA SAN. A.S.|100 Cotton Yarn
22|OSB Birinci Kısım, Nevzat Koru Cad., No: 34, Honaz, Denizli, Turkey|Textile|NISA BOYAHANE BOBIN BOYA TEKSTIL LTD. STI.|100 Cotton Yarn
23|Turkey|Textile|HOTEL TOWELS, BATHROBES, SLIPPERS|100 Cotton Yarn
24|Ortaköy San. Bulv., 7. Cad., Pınar Sok., No: 3, Selimpaşa, Silivri, İstanbul, Turkey|Textile|COTTON CLUB TR HIJY. VE KIM. URUN. SAN. VE DIS TIC. A.S.|100 Cotton Yarn
25|Dere Sok., 15/1, Osmanbey, İstanbul, Turkey|Textile|MILONO CLUB|100 Cotton Yarn
