|Address|Category|Name|Subcategory
0|Güvenevler Mah., 1949 Sk., Emre2 Apt. 10/A, Yenişehir, Mersin, Turkey|Leather|ILKESPORT SPOR MALZEMELERI INSAAT TAAHHUT TARIM ITHALAT IHRACAT SAN. VE TIC. LTD. STI.|Artificial Leather
1|DOSAB Papatya Sok. No: 6/1 Bursa, TURKEY|Leather|APOLENA|Artificial Leather
2|"Terazidere Mah., Güneş Cad., Sinan Sokak, No:7, 
Bayrampaşa, İstanbul, Turkey"|Leather|CANTATURK|Artificial Leather
3|Sahipata Mah., Mimar Muzaffer Cad., Alaaddin İş Hanı, No: 11/218, Meram, Konya, Turkey|Leather|INCIR ENERJI SANAYI VE TICARET LTD. STI.|Artificial Leather
4|Saraylar Mah., Hastahane Cad., No: 4, Fehmi Cillov İşhanı Kat: 2 No: 204, Merkezefendi, Denizli, Turkey|Leather|DIAMON TEKNIK HIZMETLER VE TICARET LTD. STI.|Artificial Leather
5|Ata San. Karşısı, Hıdırlık Mevki 51100, Niğde, Turkey|Leather|MICRONIZED CALCITE |Artificial Leather
6|Yeni Sanayi Sitesi, 4/C Blok No: 10, Antakya, Hatay, Turkey|Leather|BEYZA AYAKKABI VE DERI SAN. IHRACAT ITHALAT VE TIC. LTD. STI.|Artificial Leather
7|Osmangazi Mah., A. Kadir Aksu Bulvarı, No: 200/A, Gaziantep, Turkey|Leather|DECO VISION YAPI SAN. VE TIC. LTD. STI.|Artificial Leather
8|Fulya Mah., Ortaklar Cad., Gündoğdu Apt. No: 8 D: 3, Mecidiyeköy, Şişli, İstanbul, Turkey|Leather|ND MODA SAN. VE TIC. LTD. STI.|Artificial Leather
9|Karma Deri Org. San. Böl., 10. Cad, No: 26, Uşak, Türkiye|Leather|YAGMUR DERI - OGUZ TABAK|Artificial Leather
10|İstanbul Tuzla Organize Sanayi Bölgesi, 2.Cad. No:7, Tuzla, İstanbul, Turkey|Leather|INDOOR LIFE|Artificial Leather
11|Çengelköy Güzeltepe Mah., Küçüknamazgah Cad., No: 10/2, Üsküdar, İstanbul, Turkey|Leather|AKAL TICARET VE TEKSTIL SAN. TIC. LTD. STI.|Artificial Leather
12|Kuştur Mevkii, Bayraklı Dede Mah., Curuise Alışveriş Merkezi, No: 1-2 Kuşadası, Aydın, Turkey|Leather|ERSOYLAR HEDIYELIK ESYA DERI KONFEKSIYON ITHALAT IHRACAT LTD. STI.|Artificial Leather
13|Nuripasa Mah., 58. Bulvar Cad., 55. Sk., No:1, Zeytinburnu, Istanbul, Turkey|Leather|SIA DERICILIK SAN. VE TIC. LTD. STI.|Artificial Leather
14|İkitelli OSB Mah., Semt Aymakoop C2 Blok Sk. 1 1, Merkez Köyü Merkez Bucağı, Başakşehir, İstanbul, Turkey|Leather|LEODE DERI VE SAN. TIC. LTD. STI.|Artificial Leather
15|Org. San. Böl., 18. Cad., No: 39, 38010, Kayseri, Turkey|Leather|NIL MOBILYA YATAK KANEPE SAN. TIC. A.S.|Artificial Leather
16|Turkey|Leather|WOB GROUP|Artificial Leather
17|Turkey|Leather|TEXTILE CORNER|Artificial Leather
18|Kayseri Free Zone No : 467 Kayserı, Turkey|Leather|BRN SLEEP PRODUCTS - MATRESSES - BASES - BEDDING SETS|Artificial Leather
19|"Istanbul Deri Organize Sanayi Bolgesi, Burcak Sk., No: 3, X-2
Ozel Parsel, Tuzla, Istanbul, Turkey"|Leather|CIHAN KIMYA SAN. VE TIC. LTD. STI.|Artificial Leather
20|Hukumet Cad. No:65-69 Bartın, Turkey|Leather|KUYUMCU MUSTAFA LTD. STI.|Artificial Leather
