|Address|Category|Name|Subcategory
0|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Bearing|SEVENSAND GEAR INDUSTRY|10Mm Ball Bearing
1|Atakent Mah., Dadaloğlu Cad., No: 14/A, Ümraniye, İstanbul, Turkey|Bearing|GUVEN MUSLUK SAN. VE TIC. LTD. STI.|10Mm Ball Bearing
2|Organize Sanayi Bölgesi, Şabanoğlu Mah., Yeşilırmak Cad., No:12, Tekkeköy, Samsun, Turkey|Bearing|ARBEN MEDIKAL TEKS. ITH. IHR. SAN. VE TIC. LTD. STI.|10Mm Ball Bearing
3|Esentepe Mah., Küçük San. Sit., 4. Blok, 2953 Sokak, No: 4/5, Sultangazi, İstanbul, Turkey|Bearing|CETINKAYA SU ARMATURLERI PRES DOKUM SAN. VE TIC. LTD. STI.|10Mm Ball Bearing
4|Yalova Yolu 13. Km., PK.16240, Ovaakça,Bursa, Turkey|Bearing|SEM LASTIK SAN. VE TIC. A.S.|10Mm Ball Bearing
5|PERPA Tic. Merk., B blok 13. kat No:2479, Okmeydanı, Şişli, İstanbul, Turkey|Bearing|SULEYMAN ULUTAS - RTK INDUSTRIAL PLANTS CO.|10Mm Ball Bearing
6|Orhanlı Bıyıklı Mevki, Atayolu Caddesi, 15 Ekşioğlu Sanayi Sitesi, C2 Blok, No: 1-2, Tuzla, İstanbul, Turkey|Bearing|1A DENTAL SAN. VE TIC. LTD. STI.|10Mm Ball Bearing
7|fevzi çakmak mahallesi kostim sanayi sit.10577.sok no:6 karatay konya|Bearing|MEHMET SEVINC OTOMOTIV|10Mm Ball Bearing
8|Toklu Mah.Denizkızı Sok. Aydın Sit. No:3 Trabzon, Turkey|Bearing|HURMALIK|10Mm Ball Bearing
9|R.T.E Bulvarı 1. Cad 1.Sok No :33 Aksaray, Turkey|Bearing|AKGUNESLER TEKSTIL SAN.TIC. LTD .STI|10Mm Ball Bearing
10|İvedik Osb 1549 Sokak No=34 Yenimahalle - Ankara, Turkey|Bearing|ALP FISKIYE SISTEMLERI PARK TASARIM|10Mm Ball Bearing
11|1204/6 Sokak No:40/B Yener İş Merkezi Yenişehir İzmir, Turkey|Bearing|ENA REDUKTOR VE MOTOR SAN. TIC. LTD. STI.|10Mm Ball Bearing
12|Turkey|Bearing|3T OYUNCAK|10Mm Ball Bearing
13|Ahmet Yesevi (Dereyolu) Cad. No: 118/4 Yenibosna / Bahçelievler, Turkey|Bearing|ABS ATASEVEN BILARDO SANAYI|10Mm Ball Bearing
14|İkitelli Organize Sanayi Bolgesi Metal İs Sanayi Sitesi8.Blok No:11-13 Kucukcekmece , Turkey|Bearing|ALPER MAKINA|10Mm Ball Bearing
15|2.Organize Sanayi Bölgesi Yaylacık Cad. No.19   Konya, Turkey|Bearing|AR KAMPANA|10Mm Ball Bearing
16|100. Yıl Bulvarı No:54 Ostim, Turkey|Bearing|ARS ANKARA RULMAN|10Mm Ball Bearing
17|Mehmetakif Cad. No: 1/6  Bahcelievler /İstanbul, Turkey|Bearing|ASTAS ULUS.NAK.SAN VE DIS TIC. LTD.STI|10Mm Ball Bearing
18|Meclis Mah.Terazi Sok.Perpim Sanayi Sit. A Blok No: 74 34660 Sarıgazi/Ümramiye, Turkey|Bearing|ATILIM MUHENDISLIK INSAAT SAN.IC VE DIS TIC.LTD.STI|10Mm Ball Bearing
19|Mumhane Cd.Şarap İskelesi Sk.Mumcu Han 4/206   Karaköy / İstanbul, Turkey|Bearing|BALKAN RULMAN ITH.IHR.VE DIS TIC.|10Mm Ball Bearing
20|Oto Sanayi.Sit.Ulubaş Cad.No.3    4.Levent, Turkey|Bearing|BARKIN RULMAN HIRDAVAT SAN.TIC.LTD.STI.|10Mm Ball Bearing
21|Ikitelli Organize Sanayi Bolgesi Dolapdere Sanayi Sitesi 20.Ada No:12 Kucukcekmece-Istanbul, Turkey|Bearing|BEREKET RULMAN HIRD.TIC.VE SAN.LTD.STI.|10Mm Ball Bearing
22|Orhanlı Mah. Demokrasi Cad. No: 105 Orhanlı-Tuzla - İstanbul, Turkey|Bearing|HIDROPAKS HIDROLIK SAN. VE TIC. A.S.|10Mm Ball Bearing
23|Vahapbey Sok. No:17 Kadıköy/ İstanbul, Turkey|Bearing|BURSA IPEK|10Mm Ball Bearing
24|Vahapbey Sok. No:17 Kadıköy/ İstanbul, Turkey|Bearing|BURSA IPEK|10Mm Ball Bearing
25|"İstoç 38 Ada No:9/11 Bağcılar İstanbul 
, Turkey"|Bearing|CAN RULMAN TIC.SAN.A.S.|10Mm Ball Bearing
26|Busan Osb. Kosgeb Cd. No:74/A, Turkey|Bearing|CAYIROVA ROMORK TREYLER EKIPMANLARI|10Mm Ball Bearing
27|Busan Osb. Kosgeb Cd. No:74/A, Turkey|Bearing|CAYIROVA ROMORK TREYLER EKIPMANLARI|10Mm Ball Bearing
28|Ali Osman Sönmez Bulvarı No: 3, Turkey|Bearing|CEMTAS CELIK MAKINA SANAYI VE TICARET A.S.|10Mm Ball Bearing
29|Bafra - Samsun, Turkey|Bearing|EFEOGLU TARIM MAKINELERI VE TARIM URN. DIS TIC. PAZ. VE SAN. LTD. STI.|10Mm Ball Bearing
