|Address|Category|Name|Subcategory
0|Zafer Mh., 177. SK., No: 2, Esenyurt, İstanbul, Turkey|Domestic Appliances|SUNNY ELEKTRONIK|24 Mini Fridge
1|Sahipata Mah., Mimar Muzaffer Cad., Alaaddin İş Hanı, No: 11/218, Meram, Konya, Turkey|Domestic Appliances|INCIR ENERJI SANAYI VE TICARET LTD. STI.|24 Mini Fridge
2|Eyup Sultan Mah., Göreme Sok., No: 4, Sancaktepe, İstanbul, Turkey|Domestic Appliances|MEGAVIZYON ITH. IHR. VE PAZ. TIC. LTD. STI.|24 Mini Fridge
3|Zafer Mh., 177. SK., No: 2, Esenyurt, İstanbul, Turkey|Domestic Appliances|ATMACA ELEKTRONIK SAN. VE TIC. A.S.|24 Mini Fridge
4|Esentepe Mah., Küçük San. Sit., 4. Blok, 2953 Sokak, No: 4/5, Sultangazi, İstanbul, Turkey|Domestic Appliances|CETINKAYA SU ARMATURLERI PRES DOKUM SAN. VE TIC. LTD. STI.|24 Mini Fridge
5|İstiklal Mah., 345 Sok., No: 1/1, Esenyurt, İstanbul, Turkey|Domestic Appliances|MARMARA HIJYEN URUNLERI SAN. VE DIS TIC. LTD. STI.|24 Mini Fridge
6|Samsun Ordu Karayolu 14. km, No: 1, Tekkeköy, Samsun, Turkey|Domestic Appliances|PEDO KARDAG KARADENIZ GIDA DAGITIM A.S.|24 Mini Fridge
7|Fevzi Çakmak Mh. Hüdai Cad. Np:9 Karatay - Konya, Turkey|Domestic Appliances|PRADA GIDA IC VE DIS TIC. LTD. STI.|24 Mini Fridge
8|Adnan Kahveci Mah. Gölboyu Cad. No: 20 Gürpınar/ Beylikdüzü - İstanbul, Turkey|Domestic Appliances|SENTE MAKINA INS. SAN. TIC. LTD. STI.|24 Mini Fridge
9|O.S.B. 17 Cd No 2 Balikesir Turkey|Domestic Appliances|NAMSAN METAL TIC SAN A.S.|24 Mini Fridge
10|1. Org. San. Böl. Aslım Sok. No: 9 Selçuklu - Konya, Turkey|Domestic Appliances|AZIZ YILDIRIM PLASTIK YAGMURLAMA VE SULAMA SISTEMLERI IMALAT VE PAZARLAMA TIC. LTD. STI.|24 Mini Fridge
11|Ahi Evran Caddesi No 110 Ostim / Ankara / Turkey|Domestic Appliances|PROMAX CONCRETE BATCHING PLANT LTD CO.|24 Mini Fridge
12|Organize Sanayi Bölgesi 10. Cadde No: 37 / Eskişehir - Turkey|Domestic Appliances|CAN CONTA DAYANIKLI TUKETIM MALLARI OTOMOTIV HIRDAVAT SANAYI VE TICARET LIMITED SIRKETI|24 Mini Fridge
13|Org. San. Böl. 9 Cd. No:21 26110 Eskişehir Turkey|Domestic Appliances|MIM MAKNA SANAYI VE TICARET LIMITED SIRKETI|24 Mini Fridge
14|İhsaniye Mah. İzmir Yolu No:112 Atalay 7 Sitesi A Blok D:11 Nilüfer/Bursa, Turkey|Domestic Appliances|SERRA LTD|24 Mini Fridge
15|B.S.O.B Mermerciler San. Sit. . Cad. No: 6/15 - İstanbul, Turkey|Domestic Appliances|ALTINEL ENERJI DIS TICARET ELEKTRIK ELEKTRONIK SAN. VE TIC. LTD. STI.|24 Mini Fridge
16|Ali Samiyen Sok. No. 2 K.4 80290 Gayrettepe, Sisli İstanbul Turkey|Domestic Appliances|ELLAMP OTOMOTIV SANAYI TICARET A. S.|24 Mini Fridge
17|Subaşı Mh. Eski Manisa Yolu No:203-205 Manisa, Turkey|Domestic Appliances|TIMPAS YAYLI PIM VE TRAKTOR YEDEK PARCA SAN. TIC. A. S.|24 Mini Fridge
18|Hurdacılar Sanayi Dişci Hoca Efendi Cad. 10586 Sokak No: 48 Karatay - Konya, Turkey|Domestic Appliances|YARIMSAN TARIM MAKINALARI|24 Mini Fridge
19|Turkey|Domestic Appliances|ANLAYISLI METAL|24 Mini Fridge
20|Uğur Mumcu Mah.Atisan San.Sit. 1577.Cd. No:11 Ostim/Ankara, Turkey|Domestic Appliances|KARDELEN MAKINA SAN.VE TIC.LTD.STI.|24 Mini Fridge
21|İkitelli O.S.B. Süleyman Demirel Bulvarı, Sinpaş İş Modern Sanayi Sitesi I Blok 2.Kat No: I-35 İkitelli - İstanbul, Turkey|Domestic Appliances|SUPRAPAK|24 Mini Fridge
22|Çağlayan Vatan Caddesi No 4 Avrasya İsmerkezi Kat 1 D 3 Çağlayan Kagıthan - İstanbul, Turkey|Domestic Appliances|TEDMAR|24 Mini Fridge
23|Kisikli Cad., Sehit Ismail Moray Sok., 2/1, Altunizade, Istanbul, Turkey|Domestic Appliances|TEMSA IS MAKINELERI|24 Mini Fridge
24|1244 Sokak, Koc Apt., No: 1/7, Cevizlidere, Ankara, Turkey|Domestic Appliances|ALTEM INSAAT|24 Mini Fridge
25|Baspinar Organize Sanayi 2. Bolge, Celal Dogan Bulvari, No: 66/A, Gaziantep, Turkey|Domestic Appliances|BOBIX BEBEK BEZI|24 Mini Fridge
26|"Tarlabaşı Caddesi No: 86  34435
Beyoğlu, İstanbul
"|Domestic Appliances|ARTEK ELEKTRIKLI EV ALETLERI SAN. TIC. LTD. STI.|24 Mini Fridge
27|Izmit Sanayi Sitesi, 7. Cadde, 104. Blok, No: 106, Kocaeli, Turkey|Domestic Appliances|BASARI MAKINA FORKLIFT ISTIFLEME|24 Mini Fridge
28|İstanbul Anadolu Yakası Organize Sanayi Bölgesi3. Sokak No.11 TR-34953 Tuzla - İSTANBUL/ TURKEY|Domestic Appliances|KALE MAKINA PAZARLAMA A.S|24 Mini Fridge
