|Address|Category|Name|Subcategory
0|İncili Pınar Mah., Nişantaşı Sok., F.H İş Merkezi, No: 11, Kat: 2, D/1, Şehitkamil, Gaziantep, Turkey|Baby Products|F&M SAN GIDA DIS TIC. LTD. STI.|Adjustable Cloth Diaper
1|Yeni Mah., Oba Sk., No: 8, Karahallı, Uşak, Turkey|Baby Products|ERCANSOY TEKSTIL MOB. GIDA SAN. VE TIC. LTD. STI.|Adjustable Cloth Diaper
2|Evren Mah., Gülbahar Cad., Çimen Sok., No: 2, Güneşli, Bağcılar, İstanbul, Turkey|Baby Products|AVCI TEKSTIL VE GIYIM SAN. VE TIC. LTD. STI.|Adjustable Cloth Diaper
3|Çobançeşme Mah., Sanayi Cad., No: 78, Yenibosna, Bahçelievler, İstanbul, Turkey|Baby Products|BATHROBES TOWEL SENKO|Adjustable Cloth Diaper
4|Ata San. Karşısı, Hıdırlık Mevki 51100, Niğde, Turkey|Baby Products|MICRONIZED CALCITE |Adjustable Cloth Diaper
5|Üçgen Mahallesi  Güllük Caddesi, Savaş Apt. No:82, Muratpaşa, Antalya, Turkey|Baby Products|TURKISH TRADE CONSULTANT AND ANALYSIS COMPANY|Adjustable Cloth Diaper
6|İstanbul AYOSB Mah., Gazi Bulvarı, 12 Merkez Köyü, Merkez Bucağı, İstanbul, Turkey|Baby Products|AR TANITIM PAZARLAMA SAN. VE TIC. LTD. STI.|Adjustable Cloth Diaper
7|Sanayi Mah., 60307 Sk., No: 10, Şehitkamil, Gaziantep, Turkey|Baby Products|ERBALCI ZIMPARA INSAAT MALZEMELERI SAN. TIC. LTD. STI.|Adjustable Cloth Diaper
8|Alifuat Cebesoy Bulvarı, 74/8, Şehitkamil, Gaziantep, Türkiye|Baby Products|MSG DIS TICARET|Adjustable Cloth Diaper
9|1. Organize San. Böl., 12 No'lu Cad., No: 2, Başpınar, Şehitkamil, Gaziantep, Turkey|Baby Products|PAPATYA PAMUK VE KOZMETIK SAN. TIC. LTD. STI.|Adjustable Cloth Diaper
10|Mehmet Nezis Özmen Mh., Ardıç Sk., No: 7/A, Merter, İstanbul, Turkey|Baby Products|TUSA DIS TICARET A.S.|Adjustable Cloth Diaper
11|Ortaköy San. Bulv., 7. Cad., Pınar Sok., No: 3, Selimpaşa, Silivri, İstanbul, Turkey|Baby Products|COTTON CLUB TR HIJY. VE KIM. URUN. SAN. VE DIS TIC. A.S.|Adjustable Cloth Diaper
