|Address|Category|Name|Subcategory
0|OSB Ahi Evran Mahallesi, Oğuz Cadde, No: 43, Sincan, Ankara, Turkey|Auto Spare Parts|GOKER IS MAKINALARI SANAYI VE TIC. A.S.|4 Cylinder Cummins
1|Uzayçağı Bulvarı, Ahenk İş Merkezi 76/35, Ostim, Ankara, Turkey|Auto Spare Parts|EYLI IS MAKINALARI OTOMOTIV INSAAT MAD. SAN. TIC. LTD. STI.|4 Cylinder Cummins
2|Turkey|Auto Spare Parts|AUTOMOTIVE CRANKSHAFT VE CYLINDER HEAD|4 Cylinder Cummins
3|Org. San. Böl., Kuddusi Cad., No: 25, Selçuklu, Konya, Turkey|Auto Spare Parts|HIPOMAK DIS TICARET HIDROLIK MAKINA  TIC. LTD. STI.|4 Cylinder Cummins
4|Üniversite Caddesi No.55 Bornova-İzmir, Turkey|Auto Spare Parts|CENMAK LTD. PISTON LINER RING MANIFOLDS GASKETS WHEELS|4 Cylinder Cummins
5|Tuzla Mermerciler Organize Sanayi Bolgesi 1. Sk. No:14 Tuzla, Turkey|Auto Spare Parts|ORGAZ GAZ ALETLERI SAN. VE TIC. LTD. STI.|4 Cylinder Cummins
6|Tepeoren Koyu Gocbeylı Yolu No:17 Tuzla, Turkey|Auto Spare Parts|ITAL-NET OTOMOTIV LTD|4 Cylinder Cummins
7|2. Organize San. Böl. Lalehan Cad. No:7 Konya, Turkey|Auto Spare Parts|SAY-MAK MAK. GUILLOTINE SHEARS POWER HAMMER|4 Cylinder Cummins
8|Hamidiye Mah. Ataturk Cad. No:274, Turkey|Auto Spare Parts|GURALSAN OTOMOTIV|4 Cylinder Cummins
9|Büsan Osb Çelik Cad. No:35 Konya, Turkey|Auto Spare Parts|SERTSAN CIVATA SANAYI BOLTS NUTS|4 Cylinder Cummins
10|2. Org. San. Bol. Kırım Cd. No:13, Turkey|Auto Spare Parts|CONTA-SAN POWER GASKETS PRODUCTION|4 Cylinder Cummins
11|K.San.Sit.73.Sok.No:3, Turkey|Auto Spare Parts|HYDROKOZ LTD.CO.|4 Cylinder Cummins
12|Büsan Özel Organize Sanayi Kosgeb Cad. 1.Sk. No: 53 Konya, Turkey|Auto Spare Parts|ARS-KAR LTD. BRAKE MASTER CYLINDER BRAKE CHAMBER|4 Cylinder Cummins
13|Büsan Özel Organize Sanayi Çelik Caddesi No: 45 Konya/Turkey|Auto Spare Parts|CHELEBILER HYDRAULICS HYDRAULIC PUMP AND PTO MANUFACTURING CO|4 Cylinder Cummins
14|Iı. Organize Sanayi Bölgesi Lalehan Caddesi No: 29 Selçuklu - Konya, Turkey|Auto Spare Parts|KONYA METALURJI DOKUM SAN. VE TIC. LTD. STI.|4 Cylinder Cummins
15|Fevzi Cakmak Mah No:62, Turkey|Auto Spare Parts|BERATEK HYDRAULICS|4 Cylinder Cummins
16|Hüdavendigar Mh. Derince Sk. Örnek Apt. Osmangazi , Turkey|Auto Spare Parts|GAZ-LAB OKSIJEN AZOT LTD|4 Cylinder Cummins
17|"Demirciler Çarşısı , Hastahane Yolu, Baltaş Sanayi Sitesi No:126 Maltepe/ Topkapı
, Turkey"|Auto Spare Parts|ALTINBOGA GAZ ALETLERI MAKINA SAN VE TIC AS|4 Cylinder Cummins
18|Orhangazi Mah. Adım Sok. No:13-A Maltepe-İstanbul, Turkey|Auto Spare Parts|TARLAN KIMYA TEMIZLIK SANAYI  LTD STI.|4 Cylinder Cummins
19|2. Organize Sanayi Bölgesi Lalehan Cad. No: 20 Konya / Turkey|Auto Spare Parts|DORMAKSAN A.S. AUTOGAS LPG TANKS AUTO LPG SYSTEM KITS|4 Cylinder Cummins
