|Address|Category|Name|Subcategory
0|Akçeşme Mevkii, 2020 Sk., No: 16, Gümüşler, Denizli, Turkey|Industrial Kitchen Equipment|SEVVAL KURUYEMIS MAKINALARI IMALAT GIDA SAN. VE TIC. LTD. STI.|Accessories Coffee
1|"Terazidere Mah., Güneş Cad., Sinan Sokak, No:7, 
Bayrampaşa, İstanbul, Turkey"|Industrial Kitchen Equipment|CANTATURK|Accessories Coffee
2|Beylikdüzü Organize Sanayi Bölgesi, Mermerciler Sanayi Sitesi, Beylikdüzü, İstanbul, Turkey|Industrial Kitchen Equipment|TEMA YAPI MALZEMELERI SAN. VE TIC. LTD. STI.|Accessories Coffee
3|İncili Pınar Mah., Nişantaşı Sok., F.H İş Merkezi, No: 11, Kat: 2, D/1, Şehitkamil, Gaziantep, Turkey|Industrial Kitchen Equipment|F&M SAN GIDA DIS TIC. LTD. STI.|Accessories Coffee
4|Maltepe Mah., Dokumacılar Sitesi Sk., Hacıbey İş Hanı, No: 8/2, Zeytinburnu, İstanbul, Türkiye|Industrial Kitchen Equipment|SAY STEEL INOX CONSTRUCTION PRODUCTS|Accessories Coffee
5|Cumhuriyet Mah., Yelken Sk., No:5, Çayırova, Kocaeli, Turkey|Industrial Kitchen Equipment|LIDER DEKORATIF DEMIR URUNLERI NAK. INS. SAN. TIC. LTD. STI.|Accessories Coffee
6|1203/1 Sokak, No:27/E Ege Ticaret İş Merkezi, Gıda Çarşısı, Yenişehir, Konak, İzmir, Turkey|Industrial Kitchen Equipment|VAKUPAK AMBALAJ|Accessories Coffee
7|İzmir - Ankara Karayolu 26.km, Kemalpaşa, İzmir, Turkey|Industrial Kitchen Equipment|ARIOGLU AMBALAJ ENERJI VE ELEKTRIK SAN. TIC. LTD. STI.|Accessories Coffee
8|Esentepe Mah., Cevizli D-100 Güney Yanyol Cad., No: 25, Soğanlık, Kartal, İstanbul, Turkey|Industrial Kitchen Equipment|LAV GUROK TURIZM VE MADENCILIK A.S.|Accessories Coffee
9|Merkez Mah., Güzle İş Merkezi, Kat: 4, Çekmeköy, İstanbul, Turkey|Industrial Kitchen Equipment|SONOROUS SES VE GORUNTU SISTEMLERI SAN. TIC. A.S.|Accessories Coffee
10|Fevzi Çakmak Mah., 10638 Sk., No: 3/1 Blok No: 7/B06, Karatay, Konya, Turkey|Industrial Kitchen Equipment|SEVENSAND TEXTILE|Accessories Coffee
